CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt
ZB003,3,HAJJAR,Johnny,M.,DVG,Divers gauche,8541,"45,47","14,17",NON,97203,972,2,25,3ème circonscription,1,2,972
ZB004,4,NILOR,Jean-Philippe,M.,REG,Régionaliste,21620,"86,58","25,61",OUI,97204,972,2,26,4ème circonscription,1,2,972
ZB004,7,ROY-LARENTRY,Grégory Michel,M.,RN,Rassemblement National,3350,"13,42","3,97",NON,97204,972,2,26,4ème circonscription,1,2,972
ZC001,1,CASTOR,Jean-Victor,M.,REG,Régionaliste,14302,"76,11","24,13",OUI,97301,973,3,27,1ère circonscription,1,3,973
ZC001,3,CHONG SIT,Boris,M.,DVD,Divers droite,4490,"23,89","7,58",NON,97301,973,3,27,1ère circonscription,1,3,973
ZC002,5,RIMANE,Davy,M.,REG,Régionaliste,8422,"100,00","16,95",OUI,97302,973,3,28,2ème circonscription,1,3,973
ZD001,1,NAILLET,Philippe,M.,UG,Union de la gauche,27276,"64,72","30,80",OUI,97401,974,4,29,1ère circonscription,1,4,974
ZD001,3,MOREL,Jean Jacques,M.,RN,Rassemblement National,14868,"35,28","16,79",NON,97401,974,4,29,1ère circonscription,1,4,974
ZD002,1,BEGUE,Christelle,Mme,RN,Rassemblement National,13749,"32,54","13,51",NON,97402,974,4,30,2ème circonscription,1,4,974
ZD002,5,LEBON,Karine,Mme,UG,Union de la gauche,28500,"67,46","28,01",OUI,97402,974,4,30,2ème circonscription,1,4,974
ZD003,1,RIVIERE,Joseph,M.,RN,Rassemblement National,22831,"51,43","23,09",OUI,97403,974,4,31,3ème circonscription,1,4,974
ZD003,3,CHAUSSALET,Alexis,M.,DVG,Divers gauche,21559,"48,57","21,81",NON,97403,974,4,31,3ème circonscription,1,4,974
