CodCirc2,NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,NbVoix,RapportExprimes,RapportInscrits,Elu,CodCirc,CodDept,CodeReg,index,LibCirElec,NbSap,CodReg,CodDpt,Elu2,Elu1
10001,1,GUITTON,Jordan,M.,RN,Rassemblement National,22636,"53,84","35,38",OUI,1001,10,44,,1ère circonscription,1,44,10,,OUI
10002,3,BAZIN-MALGRAS,Valérie,Mme,LR,Les Républicains,25420,"52,17","34,36",OUI,1002,10,44,267.0,2ème circonscription,1,44,10,OUI,
10003,3,RANC,Angélique,Mme,RN,Rassemblement National,20601,"52,52","31,45",OUI,1003,10,44,268.0,3ème circonscription,1,44,10,OUI,
11001,8,BARTHÈS,Christophe,M.,RN,Rassemblement National,37049,"61,44","37,33",OUI,1101,11,76,420.0,1ère circonscription,1,76,11,OUI,
11002,5,FALCON,Frédéric,M.,RN,Rassemblement National,33573,"58,22","36,16",OUI,1102,11,76,421.0,2ème circonscription,1,76,11,OUI,
11003,5,RANCOULE,Julien,M.,RN,Rassemblement National,31514,"52,07","35,07",OUI,1103,11,76,422.0,3ème circonscription,1,76,11,OUI,
12001,2,MAZARS,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),34706,"65,17","44,30",OUI,1201,12,76,423.0,1ère circonscription,1,76,12,OUI,
12002,2,ALEXANDRE,Laurent,M.,UG,Union de la gauche,24084,"55,70","35,30",OUI,1202,12,76,424.0,2ème circonscription,1,76,12,OUI,
12003,2,ROUSSET,Jean-François,M.,ENS,Ensemble ! (Majorité présidentielle),29696,"60,29","41,09",OUI,1203,12,76,425.0,3ème circonscription,1,76,12,OUI,
13001,2,GRISETI,Monique,Mme,RN,Rassemblement National,28304,"55,86","34,18",OUI,1301,13,93,544.0,1ère circonscription,1,93,13,OUI,
13002,2,LHARDIT,Laurent,M.,UG,Union de la gauche,28677,"53,64","33,95",OUI,1302,13,93,545.0,2ème circonscription,1,93,13,OUI,
13003,7,LELOUIS,Gisèle,Mme,RN,Rassemblement National,22869,"50,93","29,36",OUI,1303,13,93,546.0,3ème circonscription,1,93,13,OUI,
13004,5,BOMPARD,Manuel,M.,UG,Union de la gauche,26712,"67,49","39,69",OUI,1304,13,93,,4ème circonscription,1,93,13,,OUI
13005,10,DAVI,Hendrik,M.,DVG,Divers gauche,30287,"65,95","40,12",OUI,1305,13,93,548.0,5ème circonscription,1,93,13,OUI,
13006,2,FAYSSAT,Olivier,M.,UXD,Union de l'extrême droite,24745,"52,33","31,04",OUI,1306,13,93,549.0,6ème circonscription,1,93,13,OUI,
13007,2,DELOGU,Sébastien,M.,UG,Union de la gauche,21124,"59,67","30,58",OUI,1307,13,93,,7ème circonscription,1,93,13,,OUI
13008,1,TONUSSI,Romain,M.,RN,Rassemblement National,34269,"50,24","33,05",OUI,1308,13,93,551.0,8ème circonscription,1,93,13,OUI,
13009,5,MÉLIN,Joëlle,Mme,RN,Rassemblement National,36050,"58,04","35,53",OUI,1309,13,93,552.0,9ème circonscription,1,93,13,OUI,
13010,2,GONZALEZ,José,M.,RN,Rassemblement National,41372,"55,66","37,35",OUI,1310,13,93,553.0,10ème circonscription,1,93,13,OUI,
13011,4,PENA,Marc,M.,UG,Union de la gauche,29570,"50,23","31,57",OUI,1311,13,93,554.0,11ème circonscription,1,93,13,OUI,
13012,6,ALLISIO,Franck,M.,RN,Rassemblement National,33086,"54,07","34,69",OUI,1312,13,93,,12ème circonscription,1,93,13,,OUI
13013,1,FOUQUART,Emmanuel,M.,RN,Rassemblement National,31084,"52,87","32,78",OUI,1313,13,93,556.0,13ème circonscription,1,93,13,OUI,
13014,1,VERNY,Gérault,M.,UXD,Union de l'extrême droite,25880,"37,26","25,88",OUI,1314,13,93,557.0,14ème circonscription,1,93,13,OUI,
13015,2,BAUBRY,Romain,M.,RN,Rassemblement National,43745,"65,18","39,51",OUI,1315,13,93,558.0,15ème circonscription,1,93,13,OUI,
