CodCirc2,Inscrits,CodCirc,CodDept,CodeReg
63005,105080,6305,63,84
64001,69447,6401,64,75
64002,84672,6402,64,75
64003,83929,6403,64,75
64004,80792,6404,64,75
64005,101136,6405,64,75
64006,106617,6406,64,75
65001,87328,6501,65,76
65002,88496,6502,65,76
66001,74058,6601,66,76
66002,106157,6602,66,76
66003,85650,6603,66,76
66004,102742,6604,66,76
67001,62541,6701,67,44
67002,72992,6702,67,44
67003,70945,6703,67,44
67004,99049,6704,67,44
67005,107594,6705,67,44
67006,98222,6706,67,44
67007,86142,6707,67,44
67008,94678,6708,67,44
67009,96216,6709,67,44
68001,78987,6801,68,44
68002,92476,6802,68,44
68003,87359,6803,68,44
68004,104237,6804,68,44
68005,76089,6805,68,44
68006,93861,6806,68,44
69001,71917,6901,69,84
69002,74611,6902,69,84
69003,70822,6903,69,84
69004,78898,6904,69,84
69005,90607,6905,69,84
69006,92008,6906,69,84
69007,72607,6907,69,84
69008,106007,6908,69,84
69009,98123,6909,69,84
69010,99044,6910,69,84
69011,98020,6911,69,84
69012,82747,6912,69,84
69013,89801,6913,69,84
69014,76572,6914,69,84
70001,88355,7001,70,27
70002,89378,7002,70,27
71001,75260,7101,71,27
71002,76621,7102,71,27
71003,80901,7103,71,27
71004,82625,7104,71,27
71005,85943,7105,71,27
72001,73766,7201,72,52
72002,83764,7202,72,52
72003,85878,7203,72,52
72004,81439,7204,72,52
72005,87980,7205,72,52
73001,94116,7301,73,84
73002,75626,7302,73,84
73003,74583,7303,73,84
73004,79612,7304,73,84
74001,110684,7401,74,84
74002,101693,7402,74,84
74003,89948,7403,74,84
74004,90925,7404,74,84
74005,103704,7405,74,84
74006,82158,7406,74,84
75001,84309,7501,75,11
75002,74579,7502,75,11
75003,73178,7503,75,11
75004,73204,7504,75,11
75005,79451,7505,75,11
75006,81237,7506,75,11
75007,80364,7507,75,11
75008,85297,7508,75,11
75009,71332,7509,75,11
75010,70406,7510,75,11
75011,72872,7511,75,11
75012,75515,7512,75,11
75013,77751,7513,75,11
75014,76408,7514,75,11
75015,79598,7515,75,11
75016,76417,7516,75,11
75017,63138,7517,75,11
75018,70320,7518,75,11
76001,66601,7601,76,28
76002,95776,7602,76,28
76003,70623,7603,76,28
76004,86287,7604,76,28
76005,94874,7605,76,28
76006,109261,7606,76,28
76007,85533,7607,76,28
76008,64476,7608,76,28
76009,95433,7609,76,28
76010,110885,7610,76,28
77001,71339,7701,77,11
77002,80444,7702,77,11
77003,77914,7703,77,11
77004,88697,7704,77,11
77005,89794,7705,77,11
77006,82904,7706,77,11
77007,89223,7707,77,11
77008,97664,7708,77,11
77009,87735,7709,77,11
77010,82992,7710,77,11
77011,66897,7711,77,11
78001,84208,7801,78,11
78002,86979,7802,78,11
78003,83521,7803,78,11
78004,80858,7804,78,11
78005,76766,7805,78,11
78006,77096,7806,78,11
78007,81613,7807,78,11
78008,75347,7808,78,11
78009,94123,7809,78,11
78010,92480,7810,78,11
78011,70630,7811,78,11
78012,72340,7812,78,11
79001,91748,7901,79,75
79002,98054,7902,79,75
79003,85314,7903,79,75
80001,83104,8001,80,32
80002,77341,8002,80,32
80003,82023,8003,80,32
80004,85080,8004,80,32
80005,81191,8005,80,32
