CodCirElec,LibCirElec,NbSap,CodReg,CodDpt,CodCirc2
3309,9ème circonscription,1,75,33,33009
3310,10ème circonscription,1,75,33,33010
3311,11ème circonscription,1,75,33,33011
3312,12ème circonscription,1,75,33,33012
4001,1ère circonscription,1,75,40,40001
4002,2ème circonscription,1,75,40,40002
4003,3ème circonscription,1,75,40,40003
4701,1ère circonscription,1,75,47,47001
4702,2ème circonscription,1,75,47,47002
4703,3ème circonscription,1,75,47,47003
6401,1ère circonscription,1,75,64,64001
6402,2ème circonscription,1,75,64,64002
6403,3ème circonscription,1,75,64,64003
6404,4ème circonscription,1,75,64,64004
6405,5ème circonscription,1,75,64,64005
6406,6ème circonscription,1,75,64,64006
7901,1ère circonscription,1,75,79,79001
7902,2ème circonscription,1,75,79,79002
7903,3ème circonscription,1,75,79,79003
8601,1ère circonscription,1,75,86,86001
8602,2ème circonscription,1,75,86,86002
8603,3ème circonscription,1,75,86,86003
8604,4ème circonscription,1,75,86,86004
8701,1ère circonscription,1,75,87,87001
8702,2ème circonscription,1,75,87,87002
8703,3ème circonscription,1,75,87,87003
0901,1ère circonscription,1,76,09,09001
0902,2ème circonscription,1,76,09,09002
1101,1ère circonscription,1,76,11,11001
1102,2ème circonscription,1,76,11,11002
1103,3ème circonscription,1,76,11,11003
1201,1ère circonscription,1,76,12,12001
1202,2ème circonscription,1,76,12,12002
1203,3ème circonscription,1,76,12,12003
3001,1ère circonscription,1,76,30,30001
3002,2ème circonscription,1,76,30,30002
3003,3ème circonscription,1,76,30,30003
3004,4ème circonscription,1,76,30,30004
3005,5ème circonscription,1,76,30,30005
3006,6ème circonscription,1,76,30,30006
3101,1ère circonscription,1,76,31,31001
3102,2ème circonscription,1,76,31,31002
3103,3ème circonscription,1,76,31,31003
3104,4ème circonscription,1,76,31,31004
3105,5ème circonscription,1,76,31,31005
3106,6ème circonscription,1,76,31,31006
3107,7ème circonscription,1,76,31,31007
3108,8ème circonscription,1,76,31,31008
3109,9ème circonscription,1,76,31,31009
3110,10ème circonscription,1,76,31,31010
3201,1ère circonscription,1,76,32,32001
3202,2ème circonscription,1,76,32,32002
3401,1ère circonscription,1,76,34,34001
3402,2ème circonscription,1,76,34,34002
3403,3ème circonscription,1,76,34,34003
3404,4ème circonscription,1,76,34,34004
3405,5ème circonscription,1,76,34,34005
3406,6ème circonscription,1,76,34,34006
3407,7ème circonscription,1,76,34,34007
3408,8ème circonscription,1,76,34,34008
3409,9ème circonscription,1,76,34,34009
4601,1ère circonscription,1,76,46,46001
4602,2ème circonscription,1,76,46,46002
4801,1ère circonscription,1,76,48,48001
6501,1ère circonscription,1,76,65,65001
6502,2ème circonscription,1,76,65,65002
6601,1ère circonscription,1,76,66,66001
6602,2ème circonscription,1,76,66,66002
6603,3ème circonscription,1,76,66,66003
6604,4ème circonscription,1,76,66,66004
8101,1ère circonscription,1,76,81,81001
8102,2ème circonscription,1,76,81,81002
8103,3ème circonscription,1,76,81,81003
8201,1ère circonscription,1,76,82,82001
8202,2ème circonscription,1,76,82,82002
0101,1ère circonscription,1,84,01,01001
0102,2ème circonscription,1,84,01,01002
0103,3ème circonscription,1,84,01,01003
0104,4ème circonscription,1,84,01,01004
0105,5ème circonscription,1,84,01,01005
0301,1ère circonscription,1,84,03,03001
0302,2ème circonscription,1,84,03,03002
0303,3ème circonscription,1,84,03,03003
0701,1ère circonscription,1,84,07,07001
0702,2ème circonscription,1,84,07,07002
0703,3ème circonscription,1,84,07,07003
1501,1ère circonscription,1,84,15,15001
1502,2ème circonscription,1,84,15,15002
2601,1ère circonscription,1,84,26,26001
2602,2ème circonscription,1,84,26,26002
2603,3ème circonscription,1,84,26,26003
2604,4ème circonscription,1,84,26,26004
3801,1ère circonscription,1,84,38,38001
3802,2ème circonscription,1,84,38,38002
3803,3ème circonscription,1,84,38,38003
3804,4ème circonscription,1,84,38,38004
3805,5ème circonscription,1,84,38,38005
3806,6ème circonscription,1,84,38,38006
3807,7ème circonscription,1,84,38,38007
3808,8ème circonscription,1,84,38,38008
3809,9ème circonscription,1,84,38,38009
3810,10ème circonscription,1,84,38,38010
4201,1ère circonscription,1,84,42,42001
4202,2ème circonscription,1,84,42,42002
4203,3ème circonscription,1,84,42,42003
4204,4ème circonscription,1,84,42,42004
4205,5ème circonscription,1,84,42,42005
4206,6ème circonscription,1,84,42,42006
4301,1ère circonscription,1,84,43,43001
4302,2ème circonscription,1,84,43,43002
6301,1ère circonscription,1,84,63,63001
6302,2ème circonscription,1,84,63,63002
6303,3ème circonscription,1,84,63,63003
6304,4ème circonscription,1,84,63,63004
6305,5ème circonscription,1,84,63,63005
6901,1ère circonscription,1,84,69,69001
6902,2ème circonscription,1,84,69,69002
6903,3ème circonscription,1,84,69,69003
6904,4ème circonscription,1,84,69,69004
6905,5ème circonscription,1,84,69,69005
