CodCirc2,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
13003,,,,,,,DE MONTGOLFIER Alexia,AYCARD-DIESTE Celine,,"GRANDEL Jacqueline, COLEOU Juliette",,,KOUBI-FLOTTE Pierre-Olivier,,FOURNIER Bernard,,LELOUIS Gisèle,,,KESSACI Amine,,
13004,,VISAGE Kylian Jacky Jean-Luc,,,,FAYE Eva-Françoise,"DEMONT Anthony, BEHAIRI Leila",TORCHI Malika,,"BONNET Isabelle, PERNICE Stéphane",,,IGO Carime,,TREVISAN Florian,FERRANDI Lea Felice,QUINQUIS Aurélie,,,BOMPARD Manuel,,
13005,,ZIEBA Pierre-Frédéric,,,,DAVI Hendrik,PLEZ Barthélémy,BOUDET Maxime,,MALHOLE Nathalie,,,MALINCONI Ambroise,,BLANC Marcel,PAPAZIAN Pauline,LIQUORI Franck,,,POPELARD Allan,,
13006,,PERETTI Sébastien,,JANNONE Tess,BRUN Stéphanie,,COURONNE Caroline,ROYER-PERREAUT Lionel,SLAMA Alain,MOREL Corinne,,,ZOUAGHI Serena,,ASTOLFI Jeanne,GIOVANNINI Sylvie,,,,JUSTE Christine,FAYSSAT Olivier,
13007,,,,,,BENAMRANE Hakim,,ATIA Hayat,,PÉCOUT Danièle,,,,,ALBACETE Ines,,SELLOUM Arezki,,,DELOGU Sébastien,,
13008,,,,,,,FANFAN Céline,ZULESI Jean-Marc,,BAZZALI Rémy,,,VOLPINI Stéphanie,,VIGIER Jeanne,,TONUSSI Romain,,,BEDDOCK Alexandre,,
13009,,MAZZONI Isabelle,,,,,AKSIL Boualam,MAS-FRAISSINET Bertrand,,CLOREC Jean-Marie,,,MICHEL Aurélien,,SANTUNIONE Robert,,MÉLIN Joëlle,,,OUGOURLOU-OGLOU Bernard,,
13010,,TAHIRI Hassan,,,,,DESBLANCS Lucie,BOURCET-GINER Véronique,,KECHRA Frédéric,,,PIERRACCINI Stephan,,COURTARO Jean-Philippe,,GONZALEZ José,,,BESSAIH Jimmy,,
13011,,,BAYLE Michel,,,,,LAQHILA Mohamed,,MARIA Charlotte,,,ZERGUINE Fayçal,,MEBTOUCHE Jean François,,FABRE-AUBRESPY Hervé,,,PENA Marc,,
13012,,,,,,,,BRETON Axel,,ROCHE François,,,AGHEMO Maxime,,ZINI Raymonde,,ALLISIO Franck,,,CZURKA Maryline,,
