CodCirc2,COM,DIV,DSV,DVC,DVD,DVG,ECO,ENS,EXD,EXG,FI,HOR,LR,RDG,REC,REG,RN,SOC,UDI,UG,UXD,VEC
60007,,,MONGIRAUD Thomas,,,,,VAN ELSUWE Ophélie,,DINGIVAL Agnès,,,MINOT Maxime,,ITALIANI Florence,,MAGNIER David,,,PEN Loïc,,
61001,,,GÉNITEAU David,CHEVALIER Manuela,DURANDY Didier,,,CHAPELOTTE Patricia,,PERCHET Camille,,,,,LECOMTE Daniel,,BELZIDSKY Nadine,,,JOURDAN Chantal,,
61002,,LEVACHER Patrick,PREHU Séverine,,LOUWAGIE Véronique,,,EL KHALEDI Amale,,VELLY Bernadette,,,,,HERBRETEAU Raymond,,VIENNE Gérard,,,SACRISTE Guillaume,,
61003,,,,,NURY Jérôme,,,,,GAUTIER Arnaud,,,,,HENOT Sylvia,,PETCHENINA Ludmila,,,HELLOCO Lori,,
62001,,,,,,COTTEL Jean-Jacques,,BOLET Philippe,,BERTHOUD Marie,,,BERNARD Marie,,,,BLAIRY Emmanuel,,,SAUVAGE Jean-Michel,,
62002,,,,DESFACHELLE Nicolas,,,LADSOUS Bruno,PANNIER-RUNACHER Agnès,,BOUFFART Béatrice,,,DHIFALLAH Mabrouka,,LEBLANC Nathalie,,HEUSÈLE Alban,,,COUSIN Alexandre,,
62003,,,,,,,,QUESTE François,,DARRAS Michel,,,,,LEJEUNE Michèle,,CLAVET Bruno,,DUQUENNE Jacques,TELLIER Jean-Marc,,
62004,,SERGENT Jean-Marc,,DURAND Jérémy,,,,FAIT Philippe,,HERICOURT Dominique,,,LAMBERT Clémence,,JUDEK Fanny,,DOLLE Benoît,,,DRAIN Blandine,,
62005,,,,,,,,PONT Jean-Pierre,,LANGLET Pierre,,,VIUDES Jean-Luc,,,,GOLLIOT Antoine,,,BARBARIN Olivier,,
62006,,FRATTINI Giovanni Anthony,,,,,,BOURGUIGNON Brigitte,,BOUREL Laure,,,HOUDAYER Eric,,,,ENGRAND Christine,,,PAGEAUD Aurore,,
62007,,,,,,,,,,CARRAUD Olivier,,,DUMONT Pierre-Henri,,JUDEK Jérôme,,DE FLEURIAN Marc,,,MOUSSALLY Jean-Pierre,,
62008,,ATASSI Alain,,,,,,POTTERIE Benoît,,RUFFIN Hervé,,,,,WEBER Jérémie,,EVRARD Auguste,,,PETIT Bertrand,,
62009,,,,,GUAQUIER Julien,,,COISNE Hadrien,,DEFLANDRE Anne-Marie,,,,,,,PARMENTIER Caroline,,ELAZOUZI Hakim,HARREMOES Estelle,,
62010,,,,,,,,LUNIEWSKI Léo,,ROBASZKIEWICZ Éric,,,BUTTIN Thomas,,,,FRAPPÉ Thierry,,,LEVEUGLE Emmanuelle,,
62011,,,,,,WEINMANN Gautier,,LAMY Dorian,,GAI Dominique,,,LANOY Michel,,FOURNIER Geoffrey,,LE PEN Marine,,,LAAL Samira,,
62012,,,,BOSSART Steve,,,,,,SCHEENAERTS Régis,,,,,,,BILDE Bruno,,,BAVAY Alain,,
63001,,,,,,,,PRONONCE Hervé,,LECLAIR Dominique,,,GALPIER Sébastien,,,,CLÉMENT Louis,,,MAXIMI Marianne,,
63002,,,,,,,,LEBREC Jean-Paul,,TRUCHON Franck,,,CHAUVIN Sarah,,GODU Marion,,DUPRÉ Isabelle,,,PIRÈS BEAUNE Christine,,
63003,,,,,DUPIC Louis,ONDET René,,VICHNIEVSKY Laurence,,SAVRE Marie,,,MARCHIS Marie-Anne,,FINOTTO Patrick,,PERS Nadine,,,BONNET Nicolas,,
63004,,,,,,,,LINGEMANN Delphine,,MAROTTE François,,,DUBESSY Florence,,SANCHEZ Pascale,,CHALUS Benjamin,,,GOLÉO Valérie,,
63005,,,,,,,,BASTET Véronique,,CAPRON Gabrielle,,,COURTHALIAC Yves,,,,CARLETTO Brigitte,,,CHASSAIGNE André,,
64001,,,,,,LALANNE Jean-Yves,ZEN Jérémy,POUEYTO Josy,,HEGOBURU Agnès,,,LAFARGUE Sandrine,,,,VERRIERE François,,,SANROMAN Jean,,
64002,,,,,,,MAUHOURAT Jacques,MATTEÏ Jean-Paul,,MARCONI Cyrille,,,LABAT Marc,,,CESCAU Patrici,BECKER Monique,,,BRUNEL Julien,,
64003,,,,,,HABIB David,BRIOLAIS Kévin,,,MISSIER Antoine,,,MARDELLE Gilles,,,ARMAND MÈGE Audric,CRESSON Nicolas,,,LOSSON Joëlle,,
64004,,,,,LASSALLE Jean,,,,,RIBEIRO Carlos,,,CACHENAUT Beñat,,,MIRANDE BEC Gracianne,LOPEZ Sylviane,,,ECHANIZ Iñaki,,
64005,,LABADIE Jean Claude,,,,,GRATELOUP Johanna,LASSERRE Florence,,BARDANOUVE Philippe,,,CASTREC Valérie,,CAYUELA Alain,"ERRAMUZPE Jean-Marie, SUSBIELLE Hélène",ROSSO Serge,,,CAPDEVIELLE Colette,,
64006,,"LAMARQUE Michel, BERTHELOT Corinne",,PERNET Eva,,,,DEVÈZE Christian,,UHART Jacqueline,,,BRISSON Emmanuelle,,,TELLECHEA Jean,,,,DUFAU Peio,LASTÉCOUÈRES Victor,
65001,,"CLARET Pierre, SEMPASTOUS Jean-Bernard",,,,,,,,SAEZ Maria,,,EVON Philippe,,BONNECARRERE Catherine,,SORIN Marie-Christine,,,FERRER Sylvie,,
65002,,EL MARSNI Ali,,,,,,MOURNET Benoit,,MEUNIER François,,,BÉHAGUE Jacques,,ALVES DA CUNHA Claude,DABAT Jean-Marc,MONTEIL Olivier,,,FÉGNÉ Denis,,
66001,,,,BRUNET Annabelle,,,,EUZET Christophe,,ADVENARD Pascale,,,MOSZKOWIEZ Loïc,,CATALDO Jacques,DANAT Delphine,BLANC Sophie,,,DASPE Francis,,
66002,,,,MEDINA Marc,,,,,,GOISET Philippe,,,,,LAURENS Brigitte,GARCIA Mercedes,SABATINI Anaïs,,,BERRUÉ David,,
66003,,,,,,,,GAYTE Laurence,,URROZ Anna-Maria,,,,,MICHAUT Alexandre,GRAU Lucila,DOGOR-SUCH Sandrine,,,CULLELL Nathalie,,
66004,,,,,,,,NADAL Patricia,,POUPARD Caroline,,,ROMAIN Philippe,,MAISONNEUVE Odile,DAVESA Celine,MARTINEZ Michèle,,,BARAILLÉ Julien,,
67001,,"ROUCHDI Jamal, SCHLUND Thomas, BRANT Thomas",,,,"OEHLER Serge, SEIGLE-MURANDI Frédéric","ARBOGAST Patrick, BARRET Albéric",LOOS Etienne,,"GENIEUX Etienne, BENHAMOU Dan, FÈVE Louise",,,WEISS Irène,,MENARD Luc,HOLTZER Odette,DU PARC Hombeline,,,REGOL Sandra,,
67002,,,,,,CLOLOT Elisa,"SCHNITZLER Fabienne, GOVERNATORI Jean Marc",BREITMAN Rebecca,,"SOUBISE Clément, RICHARD Alain",,,WOLF SAMALOUSSI Alexandre,,,DIEMUNSCH Cendrine,JORON Virginie,,,FERNANDES Emmanuel,,
67003,,HAMZA Hicham,,,,"KLEIMANN Félix, SYLLA Mohamed",PARAT Thierry,STUDER Bruno,,"GRANDMOUGIN Denise, ROBERT Camille",,,RATSIAJETSINIMARO Dera,,ZYZECK Alexandre,PERRIN Gautier,DÔ Stéphanie,,,SOTHER Thierry,,
67004,,,,,BERTHOL Catherine,,,BUFFET Françoise,,BENHLAL Mehdi,,,AESCHELMANN Nelly,,BIGOT Jean-Louis,MATZ Bénédicte,DAUBENBERGER Delphine,,,KRATTINGER Raphaële,,
67005,,,MACIA Bastien,,,,DANTZ Christian,SITZENSTUHL Charles,,DUTTER Patrick,,,COUTAUD Leo,,,WEISS MOESSMER Sarah,ESTEVE Thomas,,,RUHLMANN Marc,,
67006,,GEYER Ryan,MARLE Patricia,,,,,MOREL Louise,,CAMUS René,,,BIEHLER Jean,,RITTER Sabrina,HAMM Carine,COUSSEDIERE Vincent,,,ANDRES Didier,,
67007,,,,,,,,WOLFF Eric,,MEYER Jean,,,HETZEL Patrick,,WOLFF Arthur,LEIPP Anastasie,KIEFFER Denis,,,BLOCH Serge,,
67008,,,BATISSE Stella,,"KLIPFEL Christian, VOGT Victor",,GROSHEITSCH Claire,KOCHERT Stéphanie,,GSELL Catherine,,,,,HACKENSCHMIDT Nathan,,BERNHARDT Théo,,,ZEKAGH Myriam,,
67009,,,,,PFRIMMER Philippe,,,THIEBAUT Vincent,,LUCAS Yann,,,,,GEROLT Robin,GLUCK Maurice,WOLFF Marc,,,TERRIEN Olivier,,
68001,,,COUVAL Cyrielle,,,,,KLINKERT Brigitte,,SCHAFFAR Gilles,,,HEMEDINGER Yves,,BISCHOFF-BATMA Ariane,ZITVOGEL Thiébault,GNAEDIG Laurent,,,FRITSCH Aïcha,,
68002,,STRAUB Tiffany,SÉBERT Claudine,,KLACK Daniel,DOUDE VAN TROOSTWIJK Nathan,,OTT Hubert,,NEUSCHWANGER Pascal,,,,,OLRY Victor,BURGEL Jean-Marc,AUBERT Nathalie,,,BOURGEOIS Lilian,,
68003,,,FISCHER Simone,,ZELLER Thomas,,"WAECHTER Antoine, CRESSIN Gaelle",LEMAIRE Didier,,FERRY Géraud,,,,,NOEL Sandrine,ZOELLE Jean-Denis,ZIMMERMANN Christian,,,VIROULET Bénédicte,,
68004,,,,,,,MORGEN Corinne,,,SENSE Aime,,,SCHELLENBERGER Raphaël,,DIOP Raymonde,HELFRICH Maxence,WILHELM Marion,,,FEST Simone,,
68005,,,,,,DOLUI David,LOUNES Rachid,BECHT Olivier,,KELTOUMI Salah,,,,,TAFFARELLI Emmanuel,"SPINALI Romain, BAECHLER Jean-Frédéric",PINTO Pierre,,,EL HAJJAJI Nadia,,
68006,,,LOURENÇO Romuald,,ROLDAN-SANCHEZ Pablo,,BLUM Pascal,FUCHS Bruno,,MULOT Nathalie,,,,,PINT Denis,ROTH Laurent,RITZ Christelle,,,CLAUDEPIERRE Florence,,
69001,,EYMERIC Guillaume,,,,,THIRIAT Anne,RUDIGOZ Thomas,,"BUGNI Jim, LOPOUCHANSKY Ivanka",,,SANSOZ Grégory,,ALVES Brandon,,MOUTON Laurent,,,BELOUASSA-CHERIFI Anaïs,,
69002,,"TOUIHRI Nizar, COULAN Pascal, MAHMOUD-VINTAM Karim",,,,,,TERRENES Loïc,,"BRUNO Anthony, BRIDAY Delphine, JOUTEUX Michaël",,,GUILLOTEAU Maryll,,ETENNE Vanessa,,BISLEAU Anaëlle,,,TAVERNIER Boris,,
69003,,CHINAL Marc,,,,,LAFOND Éric,EYNAUD-LASSALLE Clara,,"BARRALLON Anaïs, DUDUKDJIAN Jean-Noël",,,DE MONTILLE Béatrice,,RILLY Marie,,MORIN Clotilde,,BOURRET Leo,GARIN Marie-Charlotte,,
69004,,VEL Juliette,,,,,QUEVY Julien,BRUGNERA Anne,,"JEGO Tristan, LAURENT Coralie",,,BILLARD Romain,,TORRENT Armande,,CHAUMONT Yannick,,,RUNEL Sandrine,,
69005,,,,,,,,BROCARD Blandine,,RIVIERE Hélène,,,JOINT Bastien,,BAZIN Mathieu,,BITOUM Sasha,,,MATTEUCCI Fabrice,,
69006,,LAWSON DOUTE Teyi Kekeli,,,,BRET Jean-Paul,BASILIEN Joseph,,,"BOUHAMI Nadia, MIZONY Raphaëlle",,,FRAYSSE Marc,,,,AGUS Délia,,,AMARD Gabriel,,
69007,,,,,,,,VINCENDET Alexandre,,SPREUX Thomas,,,FONTAINE Myriam,,BENON Régine,,PIGNAL Cédric,,,LAHMAR Abdelkader,,
69008,,,,,,,,DESPRAS Dominique,,TEYSSIER Tristan,,,SERRE Nathalie,,FOURBOUL Xavier,,GERY Jonathan,,,REYMBAUT Anne,,
69009,,,,,,,,LAURENT Antoine,,HELLY Chantal,,,PORTIER Alexandre,,,D'AUTRYVE Damien,,,,SOUMIREU-LARTIGUE Jean-Henri,LOUIS Patrick,
69010,,,,,HORNUS David,,,GASSILLOUD Thomas,,BOMPARD Gilles,,,CRUZ Sophie,,BERENYI GELEY Irène,,PATOUT Cecile,,,PERRIN Florence Janine Jacqueline,,
69011,,,,,,,SPENNATO Sophie,FUGIT Jean-Luc,,BROWNING Isabelle,,,FERRO Cindy,,,,,,,YOUSFI Abdel,HUMBERT DUPALAIS Alexandre,
69012,,,,,,,,ISAAC-SIBILLE Cyrille,,FAURITE Cécile,,,CHARMOT Pascal,,GALLICE Noémie,,LUISIER Clémence,,,GAILLOT DURAND Lucie,,
69013,,,,,BIAUT Patrick,BARTHÈS Didier,,TANZILLI Sarah,,PIOT Michel,,,MEUNIER Philippe,,GIGAREL Océane,,JONCOUR Tiffany,,,PRANDT Victor,,
69014,,,,,,,,ALMERAS Ludovic,,MINOUX Olivier,,,MAZZONE David,,RIHA Blandine,,MERMET Cédric,,,BOUMERTIT Idir,,
70001,,ZELFA Mohamed-Salah,,,,,,CHRETIEN Alain,,FISCHER Cédric,,,,,GHILES Philippe,,VILLEDIEU Antoine,,,POYARD Sébastien,,
70002,,,,,,,,BARASSI-ZAMOCHNIKOFF Fabrice,,APRO Isabelle,,,LABORIE Loic,,DEVILLERS Christophe,,SALMON Emeric,,,HOULLEY Eric,,
71001,,,ROY Jean-Armand,,,,,DIRX Benjamin,,SPRINGAUX Christophe,,,BELVILLE Jean-Philippe,,,,DREVET Rachel,,,DELPEUCH Jean-Luc,,
71002,,,,,,,,ZEKPA Raymond,,BERTHELOT Patrick,,,CORNELOUP Josiane,,,,DAMIEN Olivier,,,GAUTHERON Sébastien,,
71003,,GRANADO José Antonio,ROBERT France,,LANDRE Charles,,,REBEYROTTE Rémy,,LUCOTTE Julie,,,,,,,DUTREMBLE Aurélien,,,BENINGER Richard,,
71004,,,BELLEST Véronique,,,,,,,COURATIER Claude,,,VADOT Anthony,,,,,,,UNTERMAIER Cécile,MICHOUX Eric,
71005,,,,,"PLATRET Gilles, CADIOT Alain",,,MARGUERITTE Louis,,DUFRAIGNE Pascal,,,,,,,SANVERT Arnaud,,,KOURICHE Fatima,,
72001,,,,,,,,DELPECH Julie,,MAILLET Sylvie,,,COULON Clément,,,,DE COSSÉ BRISSAC Céline,,,BONNET Ghislaine,,
72002,,CHEURET Clément,,,,,,,,HUBERT Thomas,,,,,,,,,CHEVALLIER Samuel,KARAMANLI Marietta,FEVRE François,
72003,,,TROCHON Éric,,,,,MARTINEAU Eric,,BRUTOUT Maryse,,,GRUAU Vincent,,DE MALHERBE Raymond,,LEMOIGNE Romain,,,JACK Mathilde,,
72004,,,,,BARBET Didier,,,CASENAVE-PÉRÉ Sylvie,,NOUCHY Thierry,,,BRISARD Léo,,,BRUGADE Jean-Michel,LE PEN Marie-Caroline,,,LEBOUCHER Elise,,
72005,,,BAYLE DE JESSÉ Cécile,,,,,GRELIER Jean-Carles,,FOUQUET Karine,,,,,,,VAUGARNY Pierre,,,ROUILLON Christophe,,
73001,,,CHAUVEAU Jean-Pierre,,,,EXERTIER Frédéric,FERRARI Marina,,CASEJUANE Adrien,,,,,PEYRARD Guy-Alain,,,,,GRANATA Christel,DEGOIS Typhanie,
73002,,,CICERI Mathieu,,,,,,,RAHALIA Myriam,,,ROLLAND Vincent,,BETTOLI Morgane,JAFFRÉ Delphine,RACT-BRANCAZ Pauline,,,MARTINOT Pascale,,
73003,,,,,,,,,,TROUVÉ Pascale,,,BONNIVARD Emilie,,,,DAUCHY Marie,,,IBANEZ Daniel,,
73004,,GUILLAUD Albin,THOMAZO Vincent,,,,,GOMERO Anaïs,,DUCRUET Marie,,,,,,,BERNARD Brice,,BERNOLLIN Vincent,COULOMME Jean-François,,
74001,,ESPIC Stéphane,,,,,,RIOTTON Véronique,,MATTEI Jacques,,,THABUIS Florian,,MOLIN Claudine,,ROIT-LEVÊQUE Guillaume,,,DUVAL Anne-Valérie,,
74002,,,,,,,,ARMAND Antoine,,"YILDIRIM Naci, CORNET Geoffrey",,,RICHEFORT Alexandre,,VINCENT Pascale,LANGLADE-NOUCHY Jérémy,BOUVARD Anis,,,TATU Guillaume,,
74003,,,,,PETEX Christelle,,,,,LEGOUHY Jocelyne,,,,,,BOUVIER Véronique,,,,VEZ Gérard,VALENTIN Antoine,
74004,,LORENZO Jean-Marc,,GIANESELLO Alexandre,,,,,,ROCHE Cécile,,,DUBY-MULLER Virginie,,,LEMMO GAUD Barbara,LUHO Magalie,,,LACHENAL Dominique,,
74005,,,,,BEURRIER Chrystelle,,,VIOLLAND Anne-Cécile,,BALLY Michelle,,,,,POIDEVIN Sacha,"MAGNIN Daniel, BAL Nicolas",,,,BAUD Jean-Baptiste,TAÏEB Quentin,
74006,,,,,,,,ROSEREN Xavier,,DEMEURE Alexandre,,,DU PELOUX Cyrille,,,,,,,ROUBIAN Alain,PRATS Charles,
75001,,METZKER Axel,,PINEAU Alban Ludovic Bertrand,MAURIN Pierre,,,MAILLARD Sylvain,,"GAUTREAU Aurélien, BOULINIER Laurence",,,SAILLIET Laurence,,CHIABERTO Marine,CONTENSOU Mathilde,VOIRIN Delphine,,,KEMPF Raphaël,,
75002,,,,"LE GENDRE Gilles, MAURIANGE Frédéric","HERZOG DE COSSÉ BRISSAC Félicité, MARSILY Romain",MAGNE Elise,LORANS Cécile Marie,LAUSSUCQ Jean,,"JOLIVEAU Charline, SACASA Clara",,,,,EVANGELISTA Ornella,,DE WITTE Melody,,,ROSSET Marine,,
75003,,,,"LAPORTE Quentin, BAÏLICHE Warda",ALQUIER Thierry,SEMAT Laurent,CITROEN Côme,GUERINI Stanislas,,"FERNANDES Grégory, GASARIAN Irène, BURTAIRE Laurent",,,HATTE Paul,,COURTOIS Marie,,PODOLSKAIA Olga,,,BALAGE EL MARIKY Léa,,
75004,,"BRITEL Karim, CARDON Guillaume",,,BOULARD Geoffroy,LAURON Laetitia,,PANOSYAN-BOUVET Astrid,,"MAHIEU Emile, LEVENARD Pierre",,,,,COURTOIS Olivier,,,,,FOUDRINIER Théa,DASSIER Arnaud,
75005,,,,"BASSIL Raymond Victor, FAUCON Théo",,CHAMAYOU Anne,"BOROWSKI Arnaud, BRUNI Thiaba",PARDO Rachel-Flore,,"DABAT Monique, GUIOT Léonard",,,SERINO Valentine,,KIKUCHI Yoneko,,CHEN Céline,,,AMIRSHAHI Pouria,,
75006,,AMOUNI Alain Jean,,GUNDERMANN Louis,,"MUTTE Martial, LECREST Dima, SESSIN CARACCI Thierry",VERDIER Hippolyte,COULON Gwënaelle,,"BRUNET Veronique, NICOLAS Laurence",,,MARTIN Jean-Christophe,,JULLIEN Amélie,,LAPLACE Élise Maryse,,,CHIKIROU Sophia,,
75007,,,,"GRAU Anne, MAZUEL Philippe",,,LACAZE Sophie,BEAUNE Clément,,"PETIT Aurélia, BLANC Stéphanie",,,VÉRON Aurélien,,REYES Jason,,TACHER Céline,,,GREGOIRE Emmanuel,,
75008,,,,"VIAL KAYSER Christine, GISCARD D'ESTAING Pierre-Louis",,LAWSON-AGBAN N'Cho Xavier,,OUZILOU David,,"SELLES Gwenolé, BERNON Anne, ADOUE Camille",,,BRUNETTI Florent,,TRUNKENWALD Jannick,LUTZ Manuel,VICENTE Vanessa,,,SAS Eva,,
75009,,,,FARRAN Jade,"STIBBE Elisabeth, CHEN Sophie, OLIVIER Jean-Baptiste",,ROZENBERG Julian,MALEK-AHMADI Pegah,ELY Marc,"BEDAGUE Florence Jacqueline Chantal, CHAUVEL Blandine",,,,,BOTTOU Marion,,BOULAIRE Marie-Josée,,,ROUSSEAU Sandrine,,
75010,,DE VILMORIN Charlotte,,"OSTYN Alexia, GOLDSTEIN Michel",,,WEHRLING Yann,DJIANE Benjamin,,"LEBRUN Camille, NOEL Marianne",,,VIRY Patrick,,BERTHOLON Roger,,PAGEARD Agnès,,,ARENAS Rodrigo,,
75011,,CLEMENTE Iwan,,"CAMP Marie, VICK Julien",,,LASNE Julie,GATEL Maud,,"VINCIGUERRA Laurent, LAVIRE Rose",,,ALEXANDRE Jean-François,,TARANNE Anne-Marie,,FISCHER Lindsay,,,HERVIEU Céline,,
75012,,,,DE GONTAUT BIRON Arnaud,,FERRÉOL Laszlo,BILLAULT HARLE Alienor,GREGOIRE Olivia,,"MILESCHI Joachim, MONCHAL Muriel",,,LORIAU Jérôme,,CUIGNACHE D'APREVAL Philippe,,,,,MALAISÉ Celine,ATTIA David,
75013,,,"SANDO Francis, PAINE Corinne",,JACQUOT Frédéric,,ALLORANT Ingrid,AMIEL David,DELINOT Anne-Laure,"ROETHLISBERGER Corinne, OUDIOU Anne",,,,,CHRZANOWSKI Victor,POUPON Annie,ROSTAN Sophie,,,NIAKATÉ Aminata,,
75014,,,,MOLINARI Eric,,,,HADDAD Benjamin,,"BOURDY Marie, ZAOUATI Sacha Élie",,,DRAY Patrick,,CULERRIER Thomas,,,,,ROTA Hugo,PIQUET Louis,
75015,,CHRÉTIEN MARQUET Laurent,LEPAGE Audrey,"ARAGON Philippe, POURCHET Aliou",,SIMONNET Danielle,,GASSAMA Mohamad,,"AUGROS Pierre, CHARVILLAT Arnaud",,,DIDIER François-Marie,,GUILLOT Christian,,GUERY Clotilde,,,VERZELETTI Céline,,
75016,,KHELFA Hakima,,BLONDEL Marie-Noëlle,,,HUGUET Victor,PARIENTE Elsa,,"VILLENAVE Hortense, EL-MARBATI Nordine",,,TOUBIANA Marie,,FISCHER Cecile,,DE FROMONT DE BOUAILLE Christèle,,,LEGRAIN Sarah,,
75017,,,VALLEE Marie-Agnès,"FOURNIER Victor, SAINT-ELLIER Mathias",,,BOUCHOU Michel,BÉNIÉ Kolia,,"AKSAS Abdellah, ROUSSEAU Clément",,,MICHEL Angélique,,RUMEAU Brigitte,,DE LA BRÉLIE Anne,,,OBONO Danièle,,
75018,,,,"BERROUBA Yasmin, MANIGOLD Stéphane, LONG Philippine, FAILLÈS Béatrice",,"COUTARD Catherine, BRAVOZ Pierre",,BOURNAZEL Pierre-Yves,,"BOUBAULT Annie, THIELE David",,,GRANIER Rudolph,,PIERRE Marguerite,LE BOEUF Audrey,TIREFORT Valérie,,,CARON Aymeric,,
76001,,STACHKOV Mikhail,,HORCHOLLE Jody,CHABERT Patrick,VACQUER Richard,,ADAM Damien,,"FOISSEY Valérie, DUVERGER Marie-Hélène",,,,,SAVEY Christian,,HOUDAN Grégoire,,,HEROUIN-LÉAUTEY Florence,,
76002,,,ACCARD Marie-Françoise,,,PETIOT Soren,,VIDAL Annie,,GARAULT Jean-Claude,,,HADDAD Jonas,,MAZIER Frédéric,,LANCELOT Vanessa,,,DECORDE Vincent,,
76003,,,,,COPPEIN Alexis,,,,,LE MANACH Pascal,,OSSIBI Letycia,,,VANHESE Anthony,,DANIEL Pauline,,,BÉNARD Edouard,,
76004,,,,,,,,,,PODGUSZER Frédéric,,BONNATERRE Laurent,,,LOSFELD Ingrid,,PENNELLE Guillaume,,,DUFOUR Alma,,
76005,,,,,,,,,,SULKOWSKI Simon,,DELALANDRE Jean,,,BLED Jean-Marc,,MONTIER Jean-Cyril,,,LESEUL Gérard,,
76006,,,,,,,,,,MOISAN Éric,,,ACCARD Stéphane,,CLELAND Olivier,,MARTIN Patrice,,,JUMEL Sébastien,,
76007,,,DE LA BROSSE Véronique,,,OMONT Catherine,,,,MACÉ Jean-Paul,,FIRMIN LE BODO Agnès,FORESTIER Jacques,,DUCOEURJOLY Isabelle,,THOMAS Anaïs,,,MARTIN PÉRÉON Florence,,
76008,,,,,,,,,,CAUCHOIS Magali,,DEBONS Régis,NAOUS Benoit,,,,LE COZ Isabelle,,,LECOQ Jean-Paul,,
76009,,,BUCOURT Patrick,DE CASTET Aude,,MOREL Solène,,,,PINATO René,,POUSSIER-WINSBACK Marie-Agnès,,,ROS Christophe,,POTIER Douglas,,,ROUXEL Christiane,,
76010,,,LECUYER Rémy,,ROUSSEAU Jean Nicolas,,,,,RIVIÈRE Alain,,BATUT Xavier,,,DUMAS Nicolas,,LE BOURGEOIS Robert,,,BARRÉ Handy,,
77001,,,MEIMOUNI Victoria,,DJOLEGBEHOU Henri Komivi,AICHI Hicham,,LUQUET Aude,,GUERRIER Jean-Louis,,,,,LAPEYRONIE Brigitte,,,,,SAINT-MARTIN Arnaud,MICHEL Théo,
77002,,LAPKOFF Valérian,BALASTRE Sophie,,,,ROUSSELLE Loïc,VALLETOUX Frédéric,,"FAURY Stephanie, BROCH Élodie",,,,,CAZAURAN Guillaume,,DIMITROVA Ivanka,,,BENAÏSSA WATBOT Nour,,
77003,,,,,,,,,,VAN CAUTEREN Catherine,,,THIERIOT Jean-Louis,,,,BRUN Davy,,,VALLÉE-HANS Laura,,
77004,,,,,,,,,,GAUDEY Jean-Yves,,,PERIGAULT Isabelle,,FAUVEAU Nicolas,,LIMONGI Julien,,,GARNIER Mathieu,,
77005,,LARREGAIN-FELLER Rudolf,DURAND Michèle,,,,,RIESTER Franck,,QUENOT Pascal,,,,,,,,,,CAENBERGS Laurie,FONTANA Philippe,
77006,,,,,SARAZIN Régis,,,,,RIEUPET Annie,,,,,,,ROULLAUD Béatrice,,,BENTOUNSI Amal,,
77007,,,YU-YUENG Mathilde,"KOKOUENDO Rodrigue, MOGHIR Naïma",,,,ROBACHE Christian,,FRIJA Gabrielle,,,,,CARLINO Yannick,,LAFFITE Agnès,,LOURO Maria,SOUDAIS Ersilia,,
77008,,,SAUVAGE Henriette,,,,DUCHAUSSOY Bernard,GHOMI Hadrien,,RENAULT Frédéric,,,,,MOSKOWICZ Jean-Marc,,MOURGERES Manon,,,BONNET Arnaud,,
77009,,,,,DENION Franck,,,PEYRON Michèle,,WOODS Florence,,,,,DELALANDRE Bruno-Charles,"CHEVALLIER Marie-Pierre, VALCIN Kamal",VANACKER Morgann,,,THIÉBAULT-MARTINEZ Céline,,
77010,,,,,,,,DO Stéphanie,,CAYARD Sylvain,,,COLAS Michel,,DERVAUX Philippe,,BRACH Pryscillia,,SANGARÉ Joël,LAISNEY Maxime,,
77011,,,MAHÉ Dominique,,PAUL-PETIT Vincent,,,,,DE LA TORRE Anne,,,,,,CREANTOR Flore,,,IANZ Thomas,FAURE Olivier,,
78001,,CARLIER Guillaume,,,,,,RODWELL Charles,,LEROUX Jean-Loup,,,POULAIN Arnaud,,CLEMENT Sabine,,JACQMIN Anne,,,RAMAGE Sébastien,,
78002,,HUGON Bertrand,,,,,,BARROT Jean-Noël,,SAULNIER Marielle,,,THEVENOT Pascal,,LOIRE Philippe,,BRAULT Gaetan,,,CARRIVE-BÉDOUANI Maïté,,
78003,,,,,,,BIZET Jérémy,PIRON Béatrice,,AUGUSTIN Olivier,,,NASROU Othman,,LE COQ Olivier,,,,,CIANO Thomas,SALVINO Valentin,
78004,,POGGIA James,,,,,,LEBEC Marie,,MAUREL Franck,,,HO MASSAT Anne-Sophie,,BARDY Manon,,,,,BOURDON Céline,MOURTOUX Jean-François,
78005,,,,"LEPAGE Nathalie, LAROSE Ingrid",MYARD Jacques,LOOKY Serilo,,BRAUN-PIVET Yaël,,LÉPICIER Alain,,,,,GUILLE Emilienne,,,,,BENYETTOU Yassine,,
78006,,"MÜLLBACHER Leo, PHILIPOT Marc",COUEIGNAS Claire,,HERNOT Patrice,,SUZÉ Jean-Luc,POUZYREFF Natalia,,"ARMÈDE Ken, PERRAUDIN Cécile",,,TORREZ Stéphane,,SILD Anne-Elisabeth,,LELANDAIS Sophie,,,SAUGER Mélinda,,
78007,,,,,,,,HAI Nadia,,"KAYA Ali, LEFEBVRE Jack",,,FRÉJABUE Julien,,AUBREE Colette,,,,,ROUSSEAU Aurélien,DE ROZIERES Babette,
78008,,"CHEVALIER Léon, MANGANI Nicolas, EL ASRI Sabah",,,,,,COSTA Alexis,,GONNOT Thierry,,,,,BOVAERE Hugues,,NAUTH Cyril,,CHAMPAGNE Stephan,LUCAS Benjamin,,
