CodCirc2,DIV,DSV,DVC,DVD,DVG,DXG,ENS,LR,NUP,REG,RN,UDI
38003,0,0,0,0,0,0,2,0,1,0,0,0
38004,0,0,0,0,0,0,2,0,1,0,0,0
38005,0,0,0,0,0,0,2,0,1,0,0,0
38006,0,0,0,0,0,0,2,0,0,0,1,0
38007,0,0,0,0,0,0,0,1,0,0,2,0
38008,0,0,0,0,0,0,1,0,0,0,2,0
38009,0,0,0,0,0,0,1,0,2,0,0,0
38010,0,0,0,0,0,0,1,0,0,0,2,0
39001,0,0,0,0,0,0,1,0,2,0,0,0
39002,0,0,0,0,0,0,0,1,2,0,0,0
39003,0,0,0,0,0,0,0,1,2,0,0,0
40001,0,0,0,0,0,0,1,0,2,0,0,0
40002,0,0,0,0,0,0,1,0,2,0,0,0
40003,0,0,0,0,0,0,2,0,1,0,0,0
41001,0,0,0,0,0,0,1,0,2,0,0,0
41002,0,0,0,0,0,0,2,0,0,0,1,0
41003,0,0,0,0,0,0,1,0,0,0,2,0
42001,0,0,0,0,0,0,1,0,2,0,0,0
42002,0,0,0,0,0,0,2,0,1,0,0,0
42003,0,0,0,0,0,0,1,0,2,0,0,0
42004,0,0,0,0,0,0,0,1,2,0,0,0
42005,0,0,0,0,0,0,2,1,0,0,0,0
42006,0,0,0,0,0,0,2,1,0,0,0,0
43001,0,0,0,0,0,0,0,1,2,0,0,0
43002,0,0,0,0,0,0,0,1,2,0,0,0
44001,0,0,0,0,0,0,1,0,2,0,0,0
44002,0,0,0,0,0,0,2,0,1,0,0,0
44003,0,0,0,0,0,0,2,0,1,0,0,0
44004,0,0,0,0,0,0,2,0,1,0,0,0
44005,0,0,0,0,0,0,1,0,2,0,0,0
44006,0,0,0,0,0,0,2,0,1,0,0,0
44007,0,0,0,0,0,0,1,0,2,0,0,0
44008,0,0,0,0,0,0,2,0,1,0,0,0
44009,0,0,0,0,0,0,1,0,2,0,0,0
44010,0,0,0,0,0,0,1,0,2,0,0,0
45001,0,0,0,0,0,0,1,0,2,0,0,0
45002,0,0,0,0,0,0,1,0,2,0,0,0
45003,0,0,0,0,0,0,2,0,0,0,1,0
45004,0,0,0,0,0,0,0,0,2,0,1,0
45005,0,0,0,0,0,0,1,0,0,0,2,0
45006,0,0,0,0,0,0,1,0,2,0,0,0
46001,0,0,0,0,0,0,0,1,2,0,0,0
46002,0,0,0,0,3,0,1,0,2,0,0,0
47001,0,0,0,0,0,0,1,0,0,0,2,0
47002,0,0,0,0,0,0,3,0,2,0,1,0
47003,0,0,0,0,0,0,0,0,2,0,1,0
48001,0,0,0,0,0,0,0,0,2,0,0,1
49001,0,0,0,0,0,0,1,0,2,0,0,0
49002,0,0,0,0,0,0,1,0,2,0,0,0
49003,0,0,0,0,0,0,0,1,2,0,0,0
49004,0,0,0,0,0,0,1,0,2,0,0,0
49005,0,0,0,0,0,0,1,0,2,0,0,0
49006,0,0,0,0,0,0,1,0,2,0,0,0
49007,0,0,0,0,0,0,1,0,2,0,0,0
50001,0,0,0,0,0,0,0,1,2,0,0,0
50002,0,0,0,0,0,0,1,0,2,0,0,0
50003,0,0,0,0,0,0,1,0,2,0,0,0
50004,0,0,0,0,0,0,2,0,1,0,0,0
51001,0,0,0,0,0,0,1,0,2,0,0,0
51002,0,0,0,0,0,0,0,0,2,0,1,0
51003,0,0,0,0,0,0,1,0,0,0,2,0
