NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNuaCand,LibNuaCand,CodCirc,CodDept,CodeReg,CodCirc2
3,CADENAS,Jean-Michel,M.,RN,Rassemblement National,5302,53,52,53002
6,BANNIER,Géraldine,Mme,ENS,Ensemble ! (Majorité présidentielle),5302,53,52,53002
1,BELL,Annie,Mme,RN,Rassemblement National,5303,53,52,53003
3,FAVENNEC,Yannick,M.,HOR,Horizons,5303,53,52,53003
1,DELPECH,Julie,Mme,ENS,Ensemble ! (Majorité présidentielle),7201,72,52,72001
5,DE COSSÉ BRISSAC,Céline,Mme,RN,Rassemblement National,7201,72,52,72001
1,FEVRE,François,M.,UXD,Union de l'extrême droite,7202,72,52,72002
5,KARAMANLI,Marietta,Mme,UG,Union de la gauche,7202,72,52,72002
2,MARTINEAU,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),7203,72,52,72003
4,LEMOIGNE,Romain,M.,RN,Rassemblement National,7203,72,52,72003
6,LEBOUCHER,Elise,Mme,UG,Union de la gauche,7204,72,52,72004
7,LE PEN,Marie-Caroline,Mme,RN,Rassemblement National,7204,72,52,72004
2,GRELIER,Jean-Carles,M.,ENS,Ensemble ! (Majorité présidentielle),7205,72,52,72005
5,VAUGARNY,Pierre,M.,RN,Rassemblement National,7205,72,52,72005
4,LATOMBE,Philippe,M.,ENS,Ensemble ! (Majorité présidentielle),8501,85,52,85001
6,PAULIN,Simon-Pierre,M.,UXD,Union de l'extrême droite,8501,85,52,85001
3,EBRAN,Marie-Christine,Mme,RN,Rassemblement National,8502,85,52,85002
4,BELLAMY,Béatrice,Mme,ENS,Ensemble ! (Majorité présidentielle),8502,85,52,85002
3,DUBIN,Pascal,M.,UXD,Union de l'extrême droite,8503,85,52,85003
6,BUCHOU,Stéphane,M.,ENS,Ensemble ! (Majorité présidentielle),8503,85,52,85003
2,MARIEL-GODARD,Julie,Mme,UG,Union de la gauche,8504,85,52,85004
3,PROUX,Jacques,M.,RN,Rassemblement National,8504,85,52,85004
4,BESSE,Véronique,Mme,DVD,Divers droite,8504,85,52,85004
5,NAGNONHOU,Ilias,M.,ENS,Ensemble ! (Majorité présidentielle),8504,85,52,85004
2,BUFFETAUT,Stéphane,M.,RN,Rassemblement National,8505,85,52,85005
4,HENRIET,Pierre,M.,ENS,Ensemble ! (Majorité présidentielle),8505,85,52,85005
1,COSSON,Mickaël,M.,ENS,Ensemble ! (Majorité présidentielle),2201,22,53,22001
2,GORGIARD,Marion,Mme,UG,Union de la gauche,2201,22,53,22001
4,BILLAUD,Françoise,Mme,RN,Rassemblement National,2201,22,53,22001
4,KIEFFER,Antoine,M.,RN,Rassemblement National,2202,22,53,22002
5,BERVILLE,Hervé,M.,ENS,Ensemble ! (Majorité présidentielle),2202,22,53,22002
1,LE FUR,Corentin,M.,LR,Les Républicains,2203,22,53,22003
8,DE MELLON,Odile,Mme,RN,Rassemblement National,2203,22,53,22003
1,LUDE,Noël,M.,RN,Rassemblement National,2204,22,53,22004
5,LEPVRAUD,Murielle,Mme,UG,Union de la gauche,2204,22,53,22004
1,LE BOULANGER,Jean-Yves,M.,RN,Rassemblement National,2205,22,53,22005
3,BOTHOREL,Eric,M.,ENS,Ensemble ! (Majorité présidentielle),2205,22,53,22005
