CodCirc2,inscrits
ZA001,75975
ZA002,87775
ZA003,84348
ZA004,68262
ZB001,80041
ZB002,80054
ZB003,60508
ZB004,83958
ZC001,56997
ZC002,46473
ZD001,85903
ZD002,98956
ZD003,96212
ZD004,108931
ZD005,87696
ZD006,82020
ZD007,118245
ZS001,5053
ZM001,42834
ZM002,49775
ZX001,24563
ZW001,9592
ZP001,72176
ZP002,67226
ZP003,66895
ZN001,96919
ZN002,122243
ZZ001,240978
ZZ002,75610
ZZ003,148639
ZZ004,148196
ZZ005,105049
ZZ006,149821
ZZ007,123409
ZZ008,131219
ZZ009,120556
ZZ010,104303
ZZ011,98853
