Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
DRACOS,ELECTRE,Mme,Lutte ouvrière,28,         492,"   0,80",00104,492,0.8
BATAILLARD,CHRISTIANE,Mme,Extrême gauche,29,         225,"   0,37",00104,225,0.37
MORTEL,J.FRANCOIS,M.,Ligue communiste révolutionnaire,31,         832,"   1,36",00104,832,1.36
LEBRETON,PHILIPPE,M.,Autre écologiste,33,         624,"   1,02",00104,624,1.02
RAYMOND,MICHEL,M.,Socialiste,36,      15 110,"  24,64",00104,15110,24.64
PRETRE,CHRISTELLE,Mme,Divers,41,          75,"   0,12",00104,75,0.12
MANDRAS,M.FRANCOISE,Mme,Chasse-Pêche-Nature et Traditions,42,       1 325,"   2,16",00104,1325,2.16
BURGAT,JACQUELINE,Mme,Communiste,47,         733,"   1,20",00104,733,1.2
DAMIEN,MARCEL,M.,Divers,53,          29,"   0,05",00104,29,0.05
BENSMAINE,HAMIDA,Mme,Autre écologiste,58,         210,"   0,34",00104,210,0.34
DOMMANGET,GILLES,M.,Rassemblement pour la France,66,         667,"   1,09",00104,667,1.09
FOURNIER,a.marie,Mme,Front national,13,       6 003,"  13,80",00201,6003,13.8
LAMANT,j.claude,M.,Divers droite,16,       8 619,"  19,82",00201,8619,19.82
PERNELLE,j.loup,M.,Lutte ouvrière,17,       1 099,"   2,53",00201,1099,2.53
MIDELET,alain,M.,Pôle républicain,18,         900,"   2,07",00201,900,2.07
MALPEZZI,philippe,M.,Union pour la majorité présidentielle,28,       7 888,"  18,14",00201,7888,18.14
LEBEL,béatrice,Mme,Chasse-Pêche-Nature et Traditions,31,       1 118,"   2,57",00201,1118,2.57
CAMU,christelle,Mme,Mouvement national républicain,40,         325,"   0,75",00201,325,0.75
ARRIBAS,catherine,Mme,Les Verts,51,           0,"   0,00",00201,0,0.0
DOSIERE,rené,M.,Socialiste,52,      14 231,"  32,72",00201,14231,32.72
FONTAINE,elizabeth,Mme,Autre écologiste,53,         850,"   1,95",00201,850,1.95
VACHETTA,thomas,M.,Ligue communiste révolutionnaire,56,         892,"   2,05",00201,892,2.05
MARISSAL,marc,M.,Communiste,57,       1 295,"   2,98",00201,1295,2.98
DEVAUGERME,xavier,M.,Divers,59,           0,"   0,00",00201,0,0.0
ANTHOINE,m.angélique,Mme,Mouvement pour la France,60,         274,"   0,63",00201,274,0.63
ZANDITENAS,anne,Mme,Lutte ouvrière,1,         612,"   1,30",00202,612,1.3
GRZEGRZULKA,odette,Mme,Socialiste,2,      12 660,"  26,91",00202,12660,26.91
BERTRAND,xavier,M.,Union pour la majorité présidentielle,3,      20 295,"  43,13",00202,20295,43.13
LELONG,marcel,M.,Front national,4,       6 318,"  13,43",00202,6318,13.43
GRANDIN,alexis,M.,Mouvement pour la France,15,       1 235,"   2,62",00202,1235,2.62
BASSO,j.dominique,M.,Divers gauche,23,         158,"   0,34",00202,158,0.34
GRZEZICZAK,freddy,M.,Pôle républicain,24,         718,"   1,53",00202,718,1.53
ROGER,bernard,M.,Extrême gauche,27,         359,"   0,76",00202,359,0.76
LAGRANGE,déborah,Mme,Mouvement national républicain,37,         313,"   0,67",00202,313,0.67
GODIN,olivier,M.,Ligue communiste révolutionnaire,38,         724,"   1,54",00202,724,1.54
BETEMS,alain,M.,Chasse-Pêche-Nature et Traditions,41,         718,"   1,53",00202,718,1.53
TOURNAY,j.luc,M.,Communiste,45,       2 469,"   5,25",00202,2469,5.25
VOIRET,nadia,Mme,Autre écologiste,47,         475,"   1,01",00202,475,1.01
AHMED ALI,nora,Mme,Les Verts,65,           0,"   0,00",00202,0,0.0
DELAHAYE,françoise,Mme,Front national,5,       6 816,"  15,12",00203,6816,15.12
PISSOT,annie,Mme,Mouvement pour la France,6,         541,"   1,20",00203,541,1.2
MARCINEK,dominique,M.,Mouvement national républicain,19,         348,"   0,77",00203,348,0.77
PAILLER,marc,M.,Lutte ouvrière,21,         908,"   2,01",00203,908,2.01
CAILLOT,nicole,Mme,Pôle républicain,22,         429,"   0,95",00203,429,0.95
WARGNIER,daniel,M.,Autre écologiste,25,         134,"   0,30",00203,134,0.3
GARIN,annick,Mme,Union pour la majorité présidentielle,30,      11 787,"  26,15",00203,11787,26.15
FLAMENGT,andrée,Mme,Chasse-Pêche-Nature et Traditions,43,         850,"   1,89",00203,850,1.89
MARLANT,yannick,M.,Communiste,44,       1 573,"   3,49",00203,1573,3.49
BALLIGAND,j.pierre,M.,Socialiste,58,      20 529,"  45,54",00203,20529,45.54
SENE,daniéle,Mme,Ligue communiste révolutionnaire,61,         359,"   0,80",00203,359,0.8
MEURICE,josé,M.,Les Verts,62,         804,"   1,78",00203,804,1.78
DEBRET,régine,Mme,Mouvement pour la France,11,         289,"   0,63",00204,289,0.63
SAINT JUST DE,wallerand,M.,Front national,12,       7 912,"  17,13",00204,7912,17.13
VOISIN,laetitia,Mme,Lutte ouvrière,14,         720,"   1,56",00204,720,1.56
ERRASTI,edith,Mme,Union pour la majorité présidentielle,26,      10 410,"  22,54",00204,10410,22.54
ANSART,karine,Mme,Les Verts,33,         886,"   1,92",00204,886,1.92
BOCHAND,edith,Mme,Socialiste,34,       5 235,"  11,34",00204,5235,11.34
KUBIAK,gabrielle,Mme,Mouvement national républicain,36,         363,"   0,79",00204,363,0.79
DESALLANGRE,jacques,M.,Divers gauche,39,      12 912,"  27,96",00204,12912,27.96
GAUGER,fréderic,M.,Chasse-Pêche-Nature et Traditions,48,         802,"   1,74",00204,802,1.74
SAMYN,jacques,M.,Autre écologiste,49,         367,"   0,79",00204,367,0.79
BOUQUILLON,emmanuelle,Mme,Union pour la démocratie française,50,       5 715,"  12,37",00204,5715,12.37
MUSSAT,philippe,M.,Ligue communiste révolutionnaire,55,         571,"   1,24",00204,571,1.24
FRAILLON,olivia,Mme,Mouvement pour la France,7,         311,"   0,65",00205,311,0.65
BRIFFAUT,franck,M.,Front national,8,       8 572,"  17,98",00205,8572,17.98
BOUCHE,j.claude,M.,Lutte ouvrière,9,       1 097,"   2,30",00205,1097,2.3
DUTREIL,renaud,M.,Union pour la majorité présidentielle,10,      22 090,"  46,33",00205,22090,46.33
BREZILLON,agnès,Mme,Mouvement national républicain,20,         393,"   0,82",00205,393,0.82
REY,m.hervé,M.,Autre écologiste,29,         835,"   1,75",00205,835,1.75
BOURDAT,bernadette,Mme,Socialiste,32,       5 827,"  12,22",00205,5827,12.22
THOMASSIN,nicole,Mme,Pôle républicain,35,         621,"   1,30",00205,621,1.3
ALLIOUX,j.luc,M.,Communiste,42,       1 931,"   4,05",00205,1931,4.05
PASSENHOVE,romuald,M.,Chasse-Pêche-Nature et Traditions,46,         528,"   1,11",00205,528,1.11
CHASSEUIL,serge,M.,Ligue communiste révolutionnaire,54,         807,"   1,69",00205,807,1.69
POTIN,m.jeanne,Mme,Les Verts,64,       4 670,"   9,79",00205,4670,9.79
COLCOMBET,FRANCOIS,M.,Socialiste,3,      13 532,"  36,68",00301,13532,36.68
PORTEBANE DE,Marc-Claude,M.,Extrême droite,5,         142,"   0,38",00301,142,0.38
SALVERT DE,Danièle,Mme,Front national,7,       2 747,"   7,45",00301,2747,7.45
RAHMANI,Khamssa,Mme,Lutte ouvrière,9,         340,"   0,92",00301,340,0.92
VELEZ,Jean-Louis,M.,Divers droite,10,         559,"   1,52",00301,559,1.52
GUILLAUMIN,Jean-Marie,M.,Divers,15,         344,"   0,93",00301,344,0.93
TRANCHANT,Emmanuel,M.,Mouvement pour la France,16,         266,"   0,72",00301,266,0.72
DELVINCOURT,Dominique,Mme,Les Verts,20,         475,"   1,29",00301,475,1.29
PERISSOL,Pierre-André,M.,Union pour la majorité présidentielle,26,      14 930,"  40,47",00301,14930,40.47
TABAROVSKY,Christian,M.,Pôle républicain,29,         253,"   0,69",00301,253,0.69
LECLERC,Daniel,M.,Mouvement national républicain,32,         152,"   0,41",00301,152,0.41
SAVEL,Cathy,Mme,Communiste,37,       1 967,"   5,33",00301,1967,5.33
BOULET,Robert,M.,Divers droite,41,         216,"   0,59",00301,216,0.59
TALON,Martine,Mme,Divers,45,         159,"   0,43",00301,159,0.43
FABRE,Michel,M.,Autre écologiste,48,         138,"   0,37",00301,138,0.37
BEAUSSARON,Joseph,M.,Chasse-Pêche-Nature et Traditions,49,         436,"   1,18",00301,436,1.18
FEUILLEBOIS,Michel,M.,Divers gauche,51,         233,"   0,63",00301,233,0.63
BOETHAS,François,M.,Lutte ouvrière,11,         411,"   0,96",00302,411,0.96
GRAVIER,Jean,M.,Divers droite,18,       1 657,"   3,88",00302,1657,3.88
VUARCHEX,Lucette,Mme,Front national,19,       2 070,"   4,84",00302,2070,4.84
FABRE,Vincent,M.,Les Verts,21,         941,"   2,20",00302,941,2.2
ALAMARGOT,Pierre,M.,Chasse-Pêche-Nature et Traditions,22,         680,"   1,59",00302,680,1.59
DUJON,Monique,Mme,Divers,30,         451,"   1,05",00302,451,1.05
BOURNET,André,M.,Mouvement national républicain,33,         232,"   0,54",00302,232,0.54
GOLDBERG,PIERRE,M.,Communiste,35,      13 073,"  30,58",00302,13073,30.58
PISANI,Marcel,M.,Pôle républicain,36,         372,"   0,87",00302,372,0.87
FLEURAT,Dominique,Mme,Socialiste,38,       6 035,"  14,12",00302,6035,14.12
DUGLERY,Daniel,M.,Union pour la majorité présidentielle,42,      16 383,"  38,32",00302,16383,38.32
FOURNIER,Jean-Pierre,M.,Ligue communiste révolutionnaire,50,         447,"   1,05",00302,447,1.05
SIMON,Yves,M.,Union pour la majorité présidentielle,1,      17 025,"  36,73",00303,17025,36.73
MALLOT,Jean,M.,Socialiste,2,       9 058,"  19,54",00303,9058,19.54
MAIRAL,Jean-Claude,M.,Communiste,4,      10 614,"  22,90",00303,10614,22.9
BAUDRILLER,Jean-Louis,M.,Front national,8,       3 403,"   7,34",00303,3403,7.34
LEBEL,Bernard,M.,Lutte ouvrière,12,         761,"   1,64",00303,761,1.64
GUILLAUMIN,Gérard,M.,Divers,14,         635,"   1,37",00303,635,1.37
BOURREL,Olivier,M.,Chasse-Pêche-Nature et Traditions,17,       1 122,"   2,42",00303,1122,2.42
VEAUCE DE,Arnaud,M.,Mouvement pour la France,23,       1 239,"   2,67",00303,1239,2.67
ROUAIRE,Nicole,Mme,Les Verts,25,       1 423,"   3,07",00303,1423,3.07
PARISEL,Danièle,Mme,Mouvement national républicain,46,         452,"   0,98",00303,452,0.98
DEPRET,Michèle,Mme,Pôle républicain,47,         622,"   1,34",00303,622,1.34
CONDE DE,Louis,M.,Front national,6,       3 885,"   9,42",00304,3885,9.42
RISBEC,Agnès,Mme,Lutte ouvrière,13,         452,"   1,10",00304,452,1.1
CHARASSE,GERARD,M.,Radical de gauche,24,      14 812,"  35,92",00304,14812,35.92
DEVOUCOUX DU BUYSSON,Bernard,M.,Les Verts,27,       1 016,"   2,46",00304,1016,2.46
MORAN,Jésus,M.,Communiste,28,       2 139,"   5,19",00304,2139,5.19
COMPAGNON,Alain,M.,Mouvement national républicain,31,         412,"   1,00",00304,412,1.0
BARRAUD,Marie-Christine,Mme,Chasse-Pêche-Nature et Traditions,34,         718,"   1,74",00304,718,1.74
DUMOUCHEL,Frédéric,M.,Divers,39,         551,"   1,34",00304,551,1.34
GEOFFROY,Dominique,M.,Divers,43,         427,"   1,04",00304,427,1.04
GLOGOWSKI,Erec,M.,Mouvement pour la France,44,         375,"   0,91",00304,375,0.91
MALHURET,Claude,M.,Union pour la majorité présidentielle,52,      16 448,"  39,89",00304,16448,39.89
BERROD,PHILIPPE,M.,Les Verts,1,       1 233,"   3,47",00401,1233,3.47
PARIAN,MURIEL,Mme,Autre écologiste,2,         305,"   0,86",00401,305,0.86
CHAUVIN,GAUD,Mme,Autre écologiste,5,         205,"   0,58",00401,205,0.58
GALIZI,FRANCIS,M.,Union pour la majorité présidentielle,6,      10 603,"  29,86",00401,10603,29.86
BIANCO,J.LOUIS,M.,Socialiste,7,      11 994,"  33,78",00401,11994,33.78
SIGNORET,MICHELE,Mme,Front national,8,       4 322,"  12,17",00401,4322,12.17
ESCANEZ,JOSE,M.,Pôle républicain,10,       2 031,"   5,72",00401,2031,5.72
DELAPIERRE,GERARD,M.,Extrême gauche,11,         148,"   0,42",00401,148,0.42
TONELLI,RICHARD,M.,Autre écologiste,12,         265,"   0,75",00401,265,0.75
SCARAMELLI,CHRISTOPHE,M.,Extrême droite,14,         602,"   1,70",00401,602,1.7
JAUFFRET,CHRISTIAN,M.,Chasse-Pêche-Nature et Traditions,16,       1 398,"   3,94",00401,1398,3.94
GOISLARD DE MONSABERT,A.LAURE,Mme,Mouvement national républicain,20,         342,"   0,96",00401,342,0.96
TRIPELON,OLIVIER,M.,Lutte ouvrière,24,         296,"   0,83",00401,296,0.83
TABET ,OUERDIA,Mme,Divers,25,          39,"   0,11",00401,39,0.11
TEBAR,JOELLE,Mme,Union pour la démocratie française,30,         943,"   2,66",00401,943,2.66
GERMAIN,MARCEL,M.,Divers droite,32,          78,"   0,22",00401,78,0.22
DUREY,VALERIE,Mme,Ligue communiste révolutionnaire,36,         701,"   1,97",00401,701,1.97
RAUD,ALAIN,M.,Autre écologiste,3,         210,"   0,56",00402,210,0.56
BERTHE,CHRISTINE,Mme,Autre écologiste,4,         246,"   0,66",00402,246,0.66
LE CARDINAL,REMY,M.,Front national,9,       3 931,"  10,54",00402,3931,10.54
MOLINA,M.LINE,Mme,Extrême droite,13,         445,"   1,19",00402,445,1.19
SCHMITT-SALICE,FRANCOISE,Mme,Régionaliste,15,         150,"   0,40",00402,150,0.4
MARTIN,DOROTHEE,Mme,Divers droite,18,         102,"   0,27",00402,102,0.27
ORNANO D',MIREILLE,Mme,Mouvement national républicain,19,         750,"   2,01",00402,750,2.01
ILLY,MAX,M.,Lutte ouvrière,21,         236,"   0,63",00402,236,0.63
BOURCIER,CATHERINE,Mme,Autre écologiste,22,         378,"   1,01",00402,378,1.01
SPAGNOU,DANIEL,M.,Union pour la majorité présidentielle,23,      15 072,"  40,41",00402,15072,40.41
VERSCHUEREN ,ISABELLE,Mme,Divers,26,         309,"   0,83",00402,309,0.83
PESCE ,CHRISTIAN,M.,Chasse-Pêche-Nature et Traditions,27,       1 359,"   3,64",00402,1359,3.64
STAREK,PATRICIA,Mme,Les Verts,29,       1 213,"   3,25",00402,1213,3.25
HONDE,ROBERT,M.,Radical de gauche,31,       8 388,"  22,49",00402,8388,22.49
DELMAR,PIERRE,M.,Divers droite,33,           0,"   0,00",00402,0,0.0
GUIEU,GERARD,M.,Ligue communiste révolutionnaire,34,         758,"   2,03",00402,758,2.03
PHILIPPONNEAU,YANNICK,M.,Communiste,35,       2 752,"   7,38",00402,2752,7.38
LAUGIER,CLAUDE,M.,Union pour la démocratie française,37,       1 003,"   2,69",00402,1003,2.69
BOUCHEZ,M.CHRISTINE,Mme,Les Verts,3,       1 063,"   2,97",00501,1063,2.97
DEVANT,NATHALIE,Mme,Mouvement national républicain,4,         340,"   0,95",00501,340,0.95
MARTINEZ,HENRIETTE,Mme,Union pour la majorité présidentielle,6,       8 337,"  23,30",00501,8337,23.3
MARTIN,SOPHIE,Mme,Autre écologiste,7,         226,"   0,63",00501,226,0.63
GEIGER,J.LOUIS,M.,Démocratie libérale,8,       2 723,"   7,61",00501,2723,7.61
CHEVALLIER,DANIEL,M.,Socialiste,9,      10 200,"  28,51",00501,10200,28.51
ZURFLUH,CHANTAL,Mme,Autre écologiste,11,         174,"   0,49",00501,174,0.49
GIMENEZ,ANITA,Mme,Divers droite,13,          48,"   0,13",00501,48,0.13
BOULFROY,MICHEL,M.,Extrême droite,15,         320,"   0,89",00501,320,0.89
MINEO,CHRISTINE,Mme,Autre écologiste,17,          94,"   0,26",00501,94,0.26
DAUDON,JACQUES,M.,Divers,18,         220,"   0,61",00501,220,0.61
ARNAUD,J.MICHEL,M.,Union pour la démocratie française,19,       5 876,"  16,42",00501,5876,16.42
FERRERO,J.JACQUES,M.,Communiste,20,       1 691,"   4,73",00501,1691,4.73
FAURE,PATRICK,M.,Chasse-Pêche-Nature et Traditions,24,         862,"   2,41",00501,862,2.41
THOMAS,ELISABETH,Mme,Lutte ouvrière,26,         243,"   0,68",00501,243,0.68
LELIEVRE-MAAZIZ,MARTINE,Mme,Front national,30,       2 785,"   7,78",00501,2785,7.78
JANCZAK,A.MARIE,Mme,Régionaliste,34,          66,"   0,18",00501,66,0.18
LEROY,GERARD,M.,Ligue communiste révolutionnaire,35,         515,"   1,44",00501,515,1.44
GIRAUD,JOEL,M.,Radical de gauche,1,       9 676,"  34,77",00502,9676,34.77
BOUTEILLE,J.PIERRE,M.,Mouvement national républicain,5,         340,"   1,22",00502,340,1.22
DUSSERRE,J.YVES,M.,Union pour la majorité présidentielle,10,      11 286,"  40,55",00502,11286,40.55
WELDON,OONAGH,Mme,Autre écologiste,12,         105,"   0,38",00502,105,0.38
CARENZO,SYLVIANE,Mme,Divers droite,14,         151,"   0,54",00502,151,0.54
GRIBOUT,ISABELLE,Mme,Extrême droite,16,         311,"   1,12",00502,311,1.12
GUARDABASCIO,ANTOINE,M.,Communiste,21,         913,"   3,28",00502,913,3.28
VIGILANTE,ISABELLE,Mme,Autre écologiste,22,         118,"   0,42",00502,118,0.42
BEGUE,GEORGES,M.,Autre écologiste,23,         204,"   0,73",00502,204,0.73
LABANDE,FRANCOIS,M.,Les Verts,25,       1 494,"   5,37",00502,1494,5.37
POISSONNIER,J.CLAUDE,M.,Lutte ouvrière,27,         164,"   0,59",00502,164,0.59
PIERRE,M.CHRISTINE,Mme,Chasse-Pêche-Nature et Traditions,28,         680,"   2,44",00502,680,2.44
SAMAT,NICOLE,Mme,Front national,32,       1 991,"   7,15",00502,1991,7.15
LEFFRE,J.PHILIPPE,M.,Autre écologiste,33,          74,"   0,27",00502,74,0.27
JOHSUA,M.ALBERTE,M.,Ligue communiste révolutionnaire,36,         325,"   1,17",00502,325,1.17
RUSSEIL,MARC,M.,Union pour la démocratie française,37,           0,"   0,00",00502,0,0.0
FRANCOIS,MICHEL,M.,Autre écologiste,8,         262,"   0,77",00601,262,0.77
BELLONE,RAYMOND,M.,Divers,9,          65,"   0,19",00601,65,0.19
HEIM,VIRGINIE,Mme,Mouvement national républicain,10,         260,"   0,77",00601,260,0.77
RIVIERE,JEROME,M.,Union pour la majorité présidentielle,12,       9 015,"  26,57",00601,9015,26.57
STELLARDO,GILBERT,M.,Divers droite,25,       4 110,"  12,11",00601,4110,12.11
RICERCHI,CHRISTOPHE,M.,Divers gauche,28,         158,"   0,47",00601,158,0.47
ARGENTIERI,PIERRE,M.,Front national,32,       7 691,"  22,67",00601,7691,22.67
BOUCHARD,BERNADETTE,Mme,Extrême gauche,44,         119,"   0,35",00601,119,0.35
NGUYEN VAN GAM,PATRICK,M.,Autre écologiste,48,         267,"   0,79",00601,267,0.79
GOVERNATORI,J.MARC,M.,Divers droite,50,           1,"   0,00",00601,1,0.0
SCHLIGLER,NICOLE,Mme,Lutte ouvrière,72,         141,"   0,42",00601,141,0.42
LISBONA,DANIELLE,Mme,Divers droite,82,          87,"   0,26",00601,87,0.26
VICTOR,JACQUES,M.,Communiste,83,       1 373,"   4,05",00601,1373,4.05
ALLEMAND,PATRICK,M.,Socialiste,87,       8 827,"  26,02",00601,8827,26.02
ICART,JEAN AUGUSTE,M.,Divers droite,99,         960,"   2,83",00601,960,2.83
RIGOLAT,JOEL,M.,Autre écologiste,103,         193,"   0,57",00601,193,0.57
SILLAM,OLIVIER,M.,Ligue communiste révolutionnaire,125,         190,"   0,56",00601,190,0.56
GILABERT,ALAIN,M.,Divers,143,           0,"   0,00",00601,0,0.0
HUET,ROBERTE,Mme,Pôle républicain,156,         211,"   0,62",00601,211,0.62
PEREZ,J.PAUL,M.,Mouvement national républicain,3,         327,"   0,88",00602,327,0.88
MATHIEU-OBADIA,JACQUELINE,Mme,Divers droite,4,       2 498,"   6,72",00602,2498,6.72
MANGIAPAN,J.PIERRE,M.,Divers droite,16,         435,"   1,17",00602,435,1.17
MARLAND,MURIEL,Mme,Union pour la majorité présidentielle,19,      12 518,"  33,68",00602,12518,33.68
MARTINAUX,JOELLE,Mme,Mouvement pour la France,40,         346,"   0,93",00602,346,0.93
MOTTARD,PATRICK,M.,Socialiste,42,       9 890,"  26,61",00602,9890,26.61
MONTICELLI,SIMONE,Mme,Communiste,46,         768,"   2,07",00602,768,2.07
STEFANO DE,LAURENCE,Mme,Autre écologiste,49,         166,"   0,45",00602,166,0.45
MARKIEL,JOSEPH,M.,Lutte ouvrière,62,         120,"   0,32",00602,120,0.32
MARTIN-PECHEUX,MARIE,Mme,Divers,77,          81,"   0,22",00602,81,0.22
SANCHIS,ROBERT,M.,Divers,88,          68,"   0,18",00602,68,0.18
LEBOUCHER,JACQUES,M.,Divers,90,         180,"   0,48",00602,180,0.48
STIRBOIS,M.FRANCE,Mme,Front national,93,       8 556,"  23,02",00602,8556,23.02
BELIN,PHILIPPE,M.,Divers droite,95,         354,"   0,95",00602,354,0.95
BOURELLY,BERNARD,M.,Autre écologiste,100,         101,"   0,27",00602,101,0.27
SAKHINIS,CHRISTIAN,M.,Autre écologiste,105,         213,"   0,57",00602,213,0.57
SIMEONI,JEANINE,Mme,Divers gauche,115,          73,"   0,20",00602,73,0.2
BOURE,PHILIPPE,M.,Ligue communiste révolutionnaire,121,         164,"   0,44",00602,164,0.44
ALLEGRET,R.MARIE,Mme,Autre écologiste,147,         218,"   0,59",00602,218,0.59
PICO,RENE,M.,Divers,150,          88,"   0,24",00602,88,0.24
SALLES,RUDY,M.,Union pour la démocratie française,14,      17 207,"  43,06",00603,17207,43.06
MIRAN,PATRICE,M.,Autre écologiste,20,         402,"   1,01",00603,402,1.01
PARDINI,JEAN,M.,Autre écologiste,47,         378,"   0,95",00603,378,0.95
RIGOLAT,MUGUETTE,Mme,Autre écologiste,53,         183,"   0,46",00603,183,0.46
VANSEVEREN,WILLIAMS,M.,Mouvement pour la France,55,         212,"   0,53",00603,212,0.53
BILLI,MARIE,Mme,Communiste,59,       1 846,"   4,62",00603,1846,4.62
PEREIRA,M.JOSEE,Mme,Lutte ouvrière,61,         277,"   0,69",00603,277,0.69
DEDIEU,RENE,M.,Divers,74,          40,"   0,10",00603,40,0.1
HOLBECQ,A.JACQUES,M.,Divers,76,          85,"   0,21",00603,85,0.21
DELLA SUDDA,BRUNO,M.,Extrême gauche,81,         331,"   0,83",00603,331,0.83
HABAY,CATHERINE,Mme,Divers,84,          68,"   0,17",00603,68,0.17
GERARD,ISABELLE,Mme,Front national,94,       9 499,"  23,77",00603,9499,23.77
CHESNEL LE ROUX,JULIETTE,Mme,Les Verts,108,       7 996,"  20,01",00603,7996,20.01
BERTOZZI,J.MARIE,M.,Mouvement national républicain,113,         436,"   1,09",00603,436,1.09
MARTINETTI,LAURETTE,Mme,Divers,118,          67,"   0,17",00603,67,0.17
PICARD,J.CHRISTOPHE,M.,Divers,134,         411,"   1,03",00603,411,1.03
BUCH,ROLAND,M.,Divers,142,         120,"   0,30",00603,120,0.3
ORSINI,ANGELE,Mme,Pôle républicain,155,         406,"   1,02",00603,406,1.02
