NbrIns,RapIns,CodCirc,Inscrits
      73 229," 100,00",07611,73229
      70 330," 100,00",07612,70330
      81 309," 100,00",07701,81309
      72 079," 100,00",07702,72079
      71 056," 100,00",07703,71056
      76 541," 100,00",07704,76541
      81 290," 100,00",07705,81290
      74 339," 100,00",07706,74339
      81 399," 100,00",07707,81399
      92 544," 100,00",07708,92544
      94 210," 100,00",07709,94210
      83 531," 100,00",07801,83531
      73 894," 100,00",07802,73894
      65 586," 100,00",07803,65586
      64 235," 100,00",07805,64235
      56 344," 100,00",07806,56344
      68 844," 100,00",07807,68844
      59 387," 100,00",07808,59387
      78 461," 100,00",07809,78461
      95 212," 100,00",07810,95212
      52 422," 100,00",07811,52422
      65 707," 100,00",07812,65707
      60 101," 100,00",07901,60101
      70 312," 100,00",07902,70312
      69 681," 100,00",07904,69681
      57 348," 100,00",08001,57348
      67 676," 100,00",08003,67676
      71 806," 100,00",08004,71806
      64 937," 100,00",08005,64937
      75 882," 100,00",08006,75882
      56 066," 100,00",08101,56066
      74 025," 100,00",08102,74025
      58 269," 100,00",08103,58269
      73 604," 100,00",08104,73604
      76 092," 100,00",08201,76092
      78 004," 100,00",08202,78004
      49 838," 100,00",08301,49838
      53 402," 100,00",08302,53402
     103 444," 100,00",08303,103444
     106 373," 100,00",08304,106373
      95 182," 100,00",08305,95182
     138 801," 100,00",08306,138801
     101 155," 100,00",08307,101155
      68 298," 100,00",08401,68298
     110 302," 100,00",08402,110302
      89 166," 100,00",08403,89166
      76 284," 100,00",08404,76284
      83 322," 100,00",08502,83322
      76 414," 100,00",08601,76414
      69 171," 100,00",08602,69171
      67 812," 100,00",08603,67812
      74 194," 100,00",08604,74194
      52 166," 100,00",08701,52166
      72 609," 100,00",08702,72609
      66 433," 100,00",08703,66433
      70 019," 100,00",08704,70019
      75 417," 100,00",08801,75417
      73 370," 100,00",08802,73370
      66 169," 100,00",08803,66169
      68 841," 100,00",08804,68841
      75 953," 100,00",08901,75953
      72 547," 100,00",08902,72547
      87 603," 100,00",08903,87603
      43 970," 100,00",09001,43970
      45 956," 100,00",09002,45956
      60 340," 100,00",09101,60340
      75 783," 100,00",09102,75783
      86 873," 100,00",09103,86873
      76 695," 100,00",09104,76695
      61 189," 100,00",09105,61189
      67 712," 100,00",09106,67712
      65 413," 100,00",09107,65413
      68 570," 100,00",09109,68570
      54 666," 100,00",09110,54666
      53 214," 100,00",09201,53214
      52 436," 100,00",09202,52436
      60 239," 100,00",09204,60239
      58 699," 100,00",09205,58699
      79 066," 100,00",09207,79066
      64 376," 100,00",09208,64376
      56 748," 100,00",09210,56748
      59 550," 100,00",09211,59550
      78 407," 100,00",09212,78407
      78 803," 100,00",09213,78803
      42 749," 100,00",09301,42749
      44 568," 100,00",09302,44568
      40 349," 100,00",09303,40349
      41 627," 100,00",09304,41627
      47 781," 100,00",09305,47781
      53 068," 100,00",09306,53068
      44 070," 100,00",09307,44070
      55 970," 100,00",09308,55970
      48 675," 100,00",09309,48675
      47 392," 100,00",09310,47392
      51 528," 100,00",09311,51528
      56 011," 100,00",09312,56011
      60 588," 100,00",09313,60588
      50 590," 100,00",09401,50590
      58 419," 100,00",09402,58419
      62 794," 100,00",09403,62794
      64 214," 100,00",09404,64214
      56 963," 100,00",09405,56963
      69 523," 100,00",09406,69523
      53 147," 100,00",09407,53147
      46 599," 100,00",09409,46599
      54 212," 100,00",09410,54212
      52 022," 100,00",09411,52022
      59 256," 100,00",09412,59256
      69 995," 100,00",09501,69995
      98 921," 100,00",09502,98921
      75 990," 100,00",09503,75990
      69 004," 100,00",09504,69004
      55 742," 100,00",09505,55742
      63 679," 100,00",09506,63679
      73 225," 100,00",09507,73225
      43 129," 100,00",09508,43129
      58 060," 100,00",09509,58060
      61 287," 100,00",97101,61287
      80 329," 100,00",97102,80329
      73 348," 100,00",97103,73348
      66 608," 100,00",97104,66608
      57 314," 100,00",97201,57314
      58 881," 100,00",97202,58881
      55 743," 100,00",97203,55743
      94 641," 100,00",97204,94641
      19 494," 100,00",97301,19494
      32 290," 100,00",97302,32290
      71 656," 100,00",97401,71656
      92 144," 100,00",97402,92144
      87 104," 100,00",97405,87104
       4 822," 100,00",97501,4822
      52 341," 100,00",97601,52341
       9 375," 100,00",98601,9375
      60 770," 100,00",98801,60770
      66 908," 100,00",98802,66908
