Nom,Prenom,Civilite,LibNua,NumDepCand,Voix,RapVoixExp,CodCirc,NbVoix,RapportExprimes
ANCIAUX,J.PAUL,M.,Union pour la majorité présidentielle,43,      20 636,"  51,59",07103,20636,51.59
BAUMEL,PHILIPPE,M.,Socialiste,45,      19 363,"  48,41",07103,19363,48.41
ANDRE,ANTOINE,M.,Divers droite,24,      17 061,"  48,39",07104,17061,48.39
MATHUS,DIDIER,M.,Socialiste,29,      18 199,"  51,61",07104,18199,51.61
PERBEN,DOMINIQUE,M.,Union pour la majorité présidentielle,22,      20 503,"  59,59",07105,20503,59.59
LAVILLE,BETTINA,Mme,Socialiste,41,      13 903,"  40,41",07105,13903,40.41
SZPINER,FRANCIS,M.,Union pour la majorité présidentielle,11,      21 850,"  44,57",07106,21850,44.57
MONTEBOURG,ARNAUD,M.,Socialiste,12,      27 176,"  55,43",07106,27176,55.43
GUIBERT,GERAUD,M.,Socialiste,6,      20 546,"  47,85",07202,20546,47.85
GEVEAUX,J.MARIE,M.,Union pour la majorité présidentielle,7,      22 389,"  52,15",07202,22389,52.15
LORILLEUX,AGNES,Mme,Socialiste,13,      20 554,"  43,97",07203,20554,43.97
PAVY,BEATRICE,Mme,Union pour la majorité présidentielle,14,      26 195,"  56,03",07203,26195,56.03
ROUILLON,CHRISTOPHE,M.,Socialiste,21,      21 356,"  44,10",07205,21356,44.1
LE MENER,DOMINIQUE,M.,Union pour la majorité présidentielle,22,      27 075,"  55,90",07205,27075,55.9
DORD,DOMINIQUE,M.,Union pour la majorité présidentielle,8,      33 536,"  61,72",07301,33536,61.72
REPENTIN,THIERRY,M.,Socialiste,9,      20 796,"  38,28",07301,20796,38.28
BOUVARD,MICHEL,M.,Union pour la majorité présidentielle,1,      29 078,"  58,40",07303,29078,58.4
LACLAIS,BERNADETTE,Mme,Socialiste,10,      20 709,"  41,60",07303,20709,41.6
ACCOYER,BERNARD,M.,Union pour la majorité présidentielle,6,      31 591,"  64,15",07401,31591,64.15
GILLET DE THOREY,SYLVIE,Mme,Socialiste,26,      17 654,"  35,85",07401,17654,35.85
BOSSON,BERNARD,M.,Union pour la démocratie française,9,      24 423,"  61,38",07402,24423,61.38
BILLET,THIERRY,M.,Les Verts,27,      15 364,"  38,62",07402,15364,38.62
SADDIER,MARTIAL,M.,Union pour la majorité présidentielle,1,      27 537,"  75,17",07403,27537,75.17
MARTIN,DOMINIQUE,M.,Front national,74,       9 095,"  24,83",07403,9095,24.83
BIRRAUX,CLAUDE,M.,Union pour la majorité présidentielle,4,      24 541,"  62,81",07404,24541,62.81
LACHENAL,DOMINIQUE,Mme,Socialiste,85,      14 532,"  37,19",07404,14532,37.19
CHAVANNE,J.MARC,M.,Union pour la majorité présidentielle,8,      30 580,"  62,10",07405,30580,62.1
ZORY,FREDERIC,M.,Socialiste,16,      18 660,"  37,90",07405,18660,37.9
BILLARD,Martine,Mme,Les Verts,25,      18 327,"  50,91",07501,18327,50.91
LEGARET,J.François,M.,Union pour la majorité présidentielle,96,      17 669,"  49,09",07501,17669,49.09
COHEN-SOLAL,Lyne,Mme,Socialiste,4,      14 933,"  44,50",07502,14933,44.5
TIBERI,Jean,M.,Union pour la majorité présidentielle,29,      18 623,"  55,50",07502,18623,55.5
AURILLAC,Martine,Mme,Union pour la majorité présidentielle,8,      17 803,"  71,88",07503,17803,71.88
CHAMPOUX,M.Claire,Mme,Socialiste,151,       6 964,"  28,12",07503,6964,28.12
RENSON,Cécile,Mme,Union pour la majorité présidentielle,16,      10 182,"  40,17",07505,10182,40.17
DREYFUS,Tony,M.,Socialiste,17,      15 166,"  59,83",07505,15166,59.83
TISSOT,Claude-Annick,Mme,Union pour la majorité présidentielle,219,      12 668,"  36,70",07506,12668,36.7
HOFFMAN-RISPAL,Danièle,Mme,Socialiste,306,      21 846,"  63,30",07506,21846,63.3
BLOCHE,Patrick,M.,Socialiste,21,      20 811,"  57,74",07507,20811,57.74
GUEDJ,Nicole,Mme,Union pour la majorité présidentielle,319,      15 231,"  42,26",07507,15231,42.26
ARDITI,Maryse,Mme,Les Verts,42,      19 857,"  47,80",07508,19857,47.8
DE GAULLE,Jean,M.,Union pour la majorité présidentielle,47,      21 681,"  52,20",07508,21681,52.2
LE GUEN,J.Marie,M.,Socialiste,58,      18 769,"  55,84",07509,18769,55.84
TREMEGE,Patrick,M.,Union pour la majorité présidentielle,196,      14 841,"  44,16",07509,14841,44.16
BLISKO,Serge,M.,Socialiste,67,      21 345,"  53,49",07510,21345,53.49
TOUBON,Jacques,M.,Union pour la majorité présidentielle,468,      18 560,"  46,51",07510,18560,46.51
COCHET,Yves,M.,Les Verts,132,      18 666,"  51,83",07511,18666,51.83
VERSINI,Dominique,Mme,Union pour la majorité présidentielle,441,      17 345,"  48,17",07511,17345,48.17
GANTIER,Gilbert,M.,Union pour la démocratie française,89,      10 195,"  53,09",07515,10195,53.09
DOMINATI,Laurent,M.,Union pour la majorité présidentielle,100,       9 007,"  46,91",07515,9007,46.91
PANAFIEU DE,Françoise,Mme,Divers droite,130,      18 688," 100,00",07516,18688,100.0
STEFANINI,Patrick,M.,Union pour la majorité présidentielle,120,      14 556,"  49,73",07517,14556,49.73
LEPETIT,Annick,Mme,Socialiste,125,      14 712,"  50,27",07517,14712,50.27
CARESCHE,Christophe,M.,Socialiste,158,      17 649,"  57,37",07518,17649,57.37
CHINAUD,Xavier,M.,Union pour la majorité présidentielle,169,      13 113,"  42,63",07518,13113,42.63
VAILLANT,Daniel,M.,Socialiste,187,      13 447,"  58,36",07519,13447,58.36
DECORTE,Roxane,Mme,Union pour la majorité présidentielle,189,       9 595,"  41,64",07519,9595,41.64
BULTE,Michel,M.,Divers droite,145,      13 922,"  43,63",07520,13922,43.63
CAMBADELIS,J.Christophe,M.,Socialiste,148,      17 984,"  56,37",07520,17984,56.37
CHARZAT,Michel,M.,Socialiste,172,      22 218,"  57,50",07521,22218,57.5
DELAMARE,Raoul,M.,Union pour la majorité présidentielle,173,      16 425,"  42,50",07521,16425,42.5
HERR,PATRICK,M.,Union pour la démocratie française,4,      16 782,"  50,79",07601,16782,50.79
FOURNEYRON,VALERIE,Mme,Socialiste,11,      16 262,"  49,21",07601,16262,49.21
GAMBIER,DOMINIQUE,M.,Socialiste,15,      21 014,"  41,92",07602,21014,41.92
ALBERTINI,PIERRE,M.,Union pour la démocratie française,18,      29 119,"  58,08",07602,29119,58.08
BOURGUIGNON,PIERRE,M.,Socialiste,1,      18 280,"  64,26",07603,18280,64.26
TAFFOREAU,CATHERINE,Mme,Union pour la majorité présidentielle,39,      10 169,"  35,74",07603,10169,35.74
FABIUS,LAURENT,M.,Socialiste,7,      26 064,"  68,15",07604,26064,68.15
ROUX,M.HELENE,Mme,Union pour la majorité présidentielle,100,      12 183,"  31,85",07604,12183,31.85
BULARD,SYLVAIN,M.,Union pour la majorité présidentielle,2,      21 025,"  41,96",07605,21025,41.96
BATEUX,J.CLAUDE,M.,Socialiste,9,      29 078,"  58,04",07605,29078,58.04
MERVILLE,DENIS,M.,Union pour la majorité présidentielle,20,      21 257,"  50,30",07606,21257,50.3
DHAILLE,PAUL,M.,Radical de gauche,77,      21 000,"  49,70",07606,21000,49.7
BESSELAT,J.YVES,M.,Union pour la majorité présidentielle,3,      19 428,"  59,44",07607,19428,59.44
SIMON,VIVIANE,Mme,Socialiste,124,      13 258,"  40,56",07607,13258,40.56
PHILIPPE,EDOUARD,M.,Union pour la majorité présidentielle,10,      10 928,"  42,54",07608,10928,42.54
PAUL,DANIEL,M.,Communiste,31,      14 763,"  57,46",07608,14763,57.46
FIDELIN,DANIEL,M.,Union pour la majorité présidentielle,17,      25 794,"  51,43",07609,25794,51.43
JEANNE,PATRICK,M.,Socialiste,93,      24 359,"  48,57",07609,24359,48.57
FUCHS,GERARD,M.,Socialiste,42,      24 763,"  48,69",07610,24763,48.69
TRASSY-PAILLOGUES,ALFRED,M.,Union pour la majorité présidentielle,48,      26 100,"  51,31",07610,26100,51.31
CUVILLIEZ,CHRISTIAN,M.,Communiste,41,      21 058,"  47,71",07611,21058,47.71
LEVEAU,EDOUARD,M.,Union pour la majorité présidentielle,112,      23 078,"  52,29",07611,23078,52.29
LEJEUNE,MICHEL,M.,Divers droite,13,      23 428,"  50,47",07612,23428,50.47
LE VERN,ALAIN,M.,Socialiste,32,      22 993,"  49,53",07612,22993,49.53
MIGNON,J.CLAUDE,M.,Union pour la majorité présidentielle,24,      26 400,"  59,65",07701,26400,59.65
BRULE,J.MARC,M.,Les Verts,77,      17 859,"  40,35",07701,17859,40.35
JULIA,DIDIER,M.,Union pour la majorité présidentielle,44,      26 353,"  64,96",07702,26353,64.96
RENAUD TOUCHARD,NELLY,Mme,Socialiste,69,      14 212,"  35,04",07702,14212,35.04
JEGO,YVES,M.,Union pour la majorité présidentielle,50,      22 666,"  57,61",07703,22666,57.61
CHAZARENC,DANIELE,Mme,Socialiste,83,      16 677,"  42,39",07703,16677,42.39
JACOB,CHRISTIAN,M.,Union pour la majorité présidentielle,30,      26 108,"  62,26",07704,26108,62.26
BINET,DOMINIQUE,M.,Socialiste,74,      15 828,"  37,74",07704,15828,37.74
RICHARD,MARIE,Mme,Socialiste,8,      17 339,"  38,98",07705,17339,38.98
DRUT,GUY,M.,Union pour la majorité présidentielle,76,      27 140,"  61,02",07705,27140,61.02
BRICQ,NICOLE,Mme,Socialiste,15,      16 898,"  40,98",07706,16898,40.98
COPE,J.FRANCOIS,M.,Union pour la majorité présidentielle,54,      24 339,"  59,02",07706,24339,59.02
COVA,CHARLES,M.,Union pour la majorité présidentielle,14,      24 536,"  55,31",07707,24536,55.31
PLANCHOU,J.PAUL,M.,Socialiste,20,      19 825,"  44,69",07707,19825,44.69
BRUNEL,CHANTAL,Mme,Union pour la majorité présidentielle,33,      26 890,"  51,67",07708,26890,51.67
VACHEZ,DANIEL,M.,Socialiste,49,      25 153,"  48,33",07708,25153,48.33
HEUCLIN,JACQUES,M.,Socialiste,6,      25 385,"  47,30",07709,25385,47.3
GEOFFROY,GUY,M.,Union pour la majorité présidentielle,7,      28 284,"  52,70",07709,28284,52.7
PINTE,ETIENNE,M.,Union pour la majorité présidentielle,87,      32 133,"  63,96",07801,32133,63.96
COULLOCH-KATZ,Maryvonne,Mme,Socialiste,92,      18 108,"  36,04",07801,18108,36.04
PECRESSE,Valérie,Mme,Union pour la majorité présidentielle,24,      29 248,"  65,11",07802,29248,65.11
NEGRE,Anne,Mme,Radical de gauche,121,      15 674,"  34,89",07802,15674,34.89
IDRAC,A.MARIE,Mme,Union pour la démocratie française,124,      18 895,"  57,94",07803,18895,57.94
BRILLAULT,Philippe,M.,Union pour la majorité présidentielle,174,      13 714,"  42,06",07803,13714,42.06
SUSANI,Bruno,M.,Socialiste,49,      13 490,"  36,92",07805,13490,36.92
MYARD,JACQUES,M.,Union pour la majorité présidentielle,51,      23 048,"  63,08",07805,23048,63.08
MORANGE,PIERRE,M.,Union pour la majorité présidentielle,13,      21 518,"  67,76",07806,21518,67.76
LAURENT,Jean,M.,Socialiste,84,      10 240,"  32,24",07806,10240,32.24
ESNOL,Philippe,M.,Socialiste,74,      17 146,"  41,92",07807,17146,41.92
CARDO,PIERRE,M.,Union pour la majorité présidentielle,109,      23 756,"  58,08",07807,23756,58.08
BEDIER,Pierre,M.,Union pour la majorité présidentielle,7,      20 074,"  60,05",07808,20074,60.05
PEULVAST BERGEAL,ANNETTE,Mme,Socialiste,163,      13 353,"  39,95",07808,13353,39.95
CUQ,HENRI,M.,Union pour la majorité présidentielle,65,      28 299,"  63,52",07809,28299,63.52
BISCHEROUR,Albert,M.,Les Verts,86,      16 251,"  36,48",07809,16251,36.48
FISCHER,Didier,M.,Socialiste,19,      24 339,"  43,71",07810,24339,43.71
BOUTIN,CHRISTINE,Mme,Union pour la majorité présidentielle,20,      31 342,"  56,29",07810,31342,56.29
FOURGOUS,J.Michel,M.,Union pour la majorité présidentielle,30,      15 619,"  51,66",07811,15619,51.66
TASCA,Catherine,Mme,Socialiste,33,      14 616,"  48,34",07811,14616,48.34
MASDEU ARUS,JACQUES,M.,Union pour la majorité présidentielle,152,      23 014,"  60,74",07812,23014,60.74
DORANGE,Alain,M.,Les Verts,169,      14 876,"  39,26",07812,14876,39.26
BROSSARD,JACQUES,M.,Union pour la démocratie française,31,      18 373,"  47,89",07901,18373,47.89
PERRIN GAILLARD,GENEVIEVE,Mme,Socialiste,35,      19 996,"  52,11",07901,19996,52.11
ROYAL,SEGOLENE,Mme,Socialiste,5,      25 123,"  55,05",07902,25123,55.05
