CodCirc2,NumPanneauCand,position_t2,NbCand,NbVoix_t2,RapportExprimes_t2,CodNuaCand,position_t1,NbVoix_t1,RapportExprimes_t1,change,NbVoix_ecart,RapportExprimes_ecart
ZD002,5,1,2,28500,67.46,UG,1,19068,47.72,False,9432,19.739999999999995
ZD003,1,1,2,22831,51.43,RN,1,13360,31.56,False,9471,19.87
ZD003,3,2,2,21559,48.57,DVG,2,10076,23.8,False,11483,24.77
ZD004,2,1,2,32405,60.59,DVG,1,22696,42.28,False,9709,18.310000000000002
ZD004,6,2,2,21075,39.41,RN,2,14797,27.57,False,6278,11.839999999999996
ZD005,5,1,2,20285,53.75,DVG,1,11536,33.18,False,8749,20.57
ZD005,9,2,2,17456,46.25,RN,2,10456,30.07,False,7000,16.18
ZD006,3,1,2,21974,58.23,DVG,1,10818,29.76,False,11156,28.469999999999995
ZD006,7,2,2,15764,41.77,RN,2,9790,26.93,False,5974,14.840000000000003
ZD007,9,1,2,29190,57.33,UG,1,14851,29.55,False,14339,27.779999999999998
ZD007,10,2,2,21725,42.67,RN,2,12853,25.57,False,8872,17.1
ZM002,5,2,2,11153,46.23,LR,2,6226,27.8,False,4927,18.429999999999996
ZM002,8,1,2,12974,53.77,RN,1,7933,35.42,False,5041,18.35
75001,1,2,2,20132,36.36,UG,2,20138,32.09,False,-6,4.269999999999996
75001,6,1,2,35239,63.64,ENS,1,28048,44.7,False,7191,18.939999999999998
75002,7,1,2,28294,56.5,ENS,2,13325,23.62,True,14969,32.879999999999995
75002,12,2,2,21784,43.5,UG,1,18845,33.4,True,2939,10.100000000000001
75003,1,2,2,22444,46.41,ENS,2,18001,33.99,False,4443,12.419999999999995
75003,2,1,2,25915,53.59,UG,1,24441,46.15,False,1474,7.440000000000005
75004,1,1,2,24026,51.93,ENS,1,19677,37.19,False,4349,14.740000000000002
75004,10,2,2,22236,48.07,DVD,2,14048,26.55,False,8188,21.52
75011,4,1,2,25213,50.58,UG,1,24195,43.7,False,1018,6.8799999999999955
75011,7,2,2,24631,49.42,ENS,2,19295,34.85,False,5336,14.57
75012,2,1,2,31676,65.2,ENS,1,22145,39.36,False,9531,25.840000000000003
75012,4,2,2,16904,34.8,UG,2,16294,28.96,False,610,5.839999999999996
75013,6,1,2,27970,55.76,ENS,1,21698,38.85,False,6272,16.909999999999997
75013,10,2,2,22192,44.24,UG,2,20722,37.11,False,1470,7.130000000000003
75014,2,1,2,34722,72.33,ENS,1,26351,47.71,False,8371,24.619999999999997
75014,5,2,2,13282,27.67,UXD,3,9702,17.56,True,3580,10.110000000000003
75015,9,1,2,28858,74.19,DVG,1,23103,41.87,False,5755,32.32
75015,11,2,2,10039,25.81,UG,2,12619,22.87,False,-2580,2.9399999999999977
77001,3,1,3,16967,37.72,UG,1,14701,33.31,False,2266,4.409999999999997
77001,6,3,3,11900,26.46,ENS,3,12816,29.04,False,-916,-2.5799999999999983
77001,8,2,3,16110,35.82,UXD,2,14542,32.95,False,1568,2.8699999999999974
77002,3,2,2,21007,40.02,RN,1,18887,35.06,True,2120,4.960000000000001
77002,7,1,2,31490,59.98,ENS,2,18171,33.73,True,13319,26.25
77003,1,2,2,20250,41.49,RN,1,19153,38.13,True,1097,3.3599999999999994
77003,4,1,2,28560,58.51,LR,2,15914,31.68,True,12646,26.83
77004,4,2,2,27203,48.3,LR,2,16060,28.01,False,11143,20.289999999999996
77004,5,1,2,29118,51.7,RN,1,27317,47.64,False,1801,4.060000000000002
77005,3,2,2,25175,45.6,UXD,1,23820,41.77,True,1355,3.8299999999999983
77005,5,1,2,30038,54.4,ENS,2,17923,31.43,True,12115,22.97
77006,3,2,2,22041,47.5,UG,2,15548,30.22,False,6493,17.28
77006,4,1,2,24362,52.5,RN,1,20994,40.81,False,3368,11.689999999999998
77007,4,1,2,27137,53.0,UG,2,18557,32.85,True,8580,20.15
77007,8,2,2,24063,47.0,RN,1,20179,35.72,True,3884,11.280000000000001
77008,1,1,3,24892,39.28,UG,1,22663,36.29,False,2229,2.990000000000002
77008,2,2,3,21411,33.79,ENS,2,20622,33.03,False,789,0.759999999999998
77008,6,3,3,17066,26.93,RN,3,17465,27.97,False,-399,-1.0399999999999991
77009,3,1,2,27726,53.65,UG,2,16521,29.65,True,11205,24.0
77009,4,2,2,23958,46.35,RN,1,19781,35.5,True,4177,10.850000000000001
77010,1,1,2,32280,69.06,UG,1,22558,43.94,False,9722,25.120000000000005
77010,5,2,2,14462,30.94,RN,2,11625,22.64,False,2837,8.3
78001,1,1,3,27403,46.9,ENS,1,20235,33.55,False,7168,13.350000000000001
78001,6,2,3,16828,28.8,UG,2,17073,28.31,False,-245,0.490000000000002
78001,7,3,3,14195,24.3,RN,3,11686,19.37,False,2509,4.93
78002,2,1,2,43607,72.69,ENS,1,22500,35.01,False,21107,37.68
78002,6,2,2,16383,27.31,RN,3,14013,21.81,True,2370,5.5
78003,1,1,2,38824,68.75,ENS,1,20768,34.49,False,18056,34.26
78003,7,2,2,17648,31.25,UXD,2,13725,22.79,False,3923,8.46
78004,1,1,3,28306,50.67,ENS,1,23932,41.24,False,4374,9.43
78004,2,3,3,12486,22.35,UXD,3,11599,19.99,False,887,2.360000000000003
78004,6,2,3,15066,26.97,UG,2,15787,27.21,False,-721,-0.240000000000002
78005,2,2,3,14564,28.16,UG,2,14600,27.31,False,-36,0.8500000000000014
78005,4,3,3,11763,22.74,DVD,3,12241,22.9,False,-478,-0.16000000000000014
78005,7,1,3,25400,49.1,ENS,1,22874,42.79,False,2526,6.310000000000002
78006,4,2,3,14837,29.18,UG,2,14247,27.02,False,590,2.16
78006,6,3,3,11693,22.99,RN,3,10781,20.45,False,912,2.539999999999999
78006,8,1,3,24322,47.83,ENS,1,20212,38.33,False,4110,9.5
78007,2,3,3,15004,27.91,UXD,3,13987,25.79,False,1017,2.120000000000001
78007,4,2,3,17711,32.95,ENS,2,15903,29.32,False,1808,3.6300000000000026
78007,7,1,3,21043,39.14,UG,1,18810,34.68,False,2233,4.460000000000001
78008,2,2,2,15948,36.45,RN,2,14076,30.97,False,1872,5.480000000000004
78008,7,1,2,27801,63.55,UG,1,20416,44.92,False,7385,18.629999999999995
78009,1,2,2,26477,46.03,RN,1,21551,34.49,True,4926,11.54
78009,8,1,2,31042,53.97,UG,2,18520,29.64,True,12522,24.33
78010,2,1,3,32048,49.05,ENS,1,22367,33.59,False,9681,15.459999999999994
78010,6,3,3,12255,18.76,UG,3,14918,22.4,False,-2663,-3.639999999999997
78010,7,2,3,21035,32.19,RN,2,18795,28.22,False,2240,3.969999999999999
78011,2,2,2,22035,49.84,UG,1,20395,43.38,True,1640,6.460000000000001
78011,6,1,2,22175,50.16,UDI,2,13752,29.25,True,8423,20.909999999999997
78012,4,2,3,15375,30.86,UG,2,15333,30.32,False,42,0.5399999999999991
78012,6,3,3,11993,24.07,RN,3,12585,24.88,False,-592,-0.8099999999999987
78012,7,1,3,22452,45.07,ENS,1,20610,40.75,False,1842,4.32
91001,3,2,3,11256,26.92,DIV,2,11506,27.74,False,-250,-0.8199999999999967
91001,4,1,3,21311,50.97,UG,1,19109,46.07,False,2202,4.899999999999999
91001,7,3,3,9244,22.11,RN,3,9264,22.34,False,-20,-0.23000000000000043
91002,1,2,2,26193,47.54,UG,2,16207,26.54,False,9986,21.0
91002,6,1,2,28898,52.46,RN,1,24608,40.3,False,4290,12.160000000000004
91003,5,2,2,26996,43.29,RN,1,22290,33.01,True,4706,10.280000000000001
91003,7,1,2,35365,56.71,UG,2,20874,30.91,True,14491,25.8
91004,3,1,2,42392,64.56,ENS,1,23108,33.91,False,19284,30.650000000000006
91004,6,2,2,23266,35.44,UXD,2,21144,31.03,False,2122,4.409999999999997
91005,2,2,2,21683,48.26,UG,1,19107,37.93,True,2576,10.329999999999998
91005,8,1,2,23248,51.74,ENS,2,16362,32.48,True,6886,19.260000000000005
91006,1,1,2,38991,74.26,UG,1,19280,34.44,False,19711,39.82000000000001
91006,6,2,2,13515,25.74,RN,3,11650,20.81,True,1865,4.93
91007,3,3,3,10532,22.46,RN,3,11676,25.07,False,-1144,-2.6099999999999994
91007,5,2,3,15581,33.23,ENS,2,14000,30.07,False,1581,3.1599999999999966
91007,6,1,3,20780,44.31,UG,1,19012,40.83,False,1768,3.480000000000004
91008,2,3,3,10960,22.0,DVD,3,13532,27.38,False,-2572,-5.379999999999999
91008,4,2,3,18672,37.48,DSV,2,16288,32.96,False,2384,4.519999999999996
91008,5,1,3,20185,40.52,UG,1,16986,34.37,False,3199,6.150000000000006
91009,2,2,2,18057,38.0,RN,2,15449,30.12,False,2608,7.879999999999999
91009,5,1,2,29461,62.0,UG,1,19288,37.6,False,10173,24.4
91010,2,1,2,22556,65.16,UG,1,16242,43.01,False,6314,22.15
91010,10,2,2,12061,34.84,RN,2,9784,25.91,False,2277,8.930000000000003
92002,2,2,2,22264,45.16,UG,2,20683,39.53,False,1581,5.6299999999999955
92002,8,1,2,27036,54.84,LR,1,21760,41.59,False,5276,13.25
92004,3,1,2,28034,57.99,UG,1,26373,49.13,False,1661,8.86
92004,9,2,2,20309,42.01,ENS,2,15899,29.62,False,4410,12.389999999999997
92005,1,2,2,21676,43.95,UG,1,19939,36.54,True,1737,7.410000000000004
92005,4,1,2,27642,56.05,ENS,2,17255,31.62,True,10387,24.429999999999996
92006,1,2,3,17802,34.9,LR,2,11217,19.9,False,6585,15.0
92006,2,1,3,22960,45.02,ENS,1,22627,40.14,False,333,4.880000000000003
92006,7,3,3,10241,20.08,UG,3,10857,19.26,False,-616,0.8199999999999967
92008,2,1,2,27453,62.44,ENS,1,20274,39.91,False,7179,22.53
92008,5,2,2,16516,37.56,UG,2,15392,30.3,False,1124,7.260000000000002
92009,4,1,2,27978,72.63,ENS,1,21593,46.07,False,6385,26.559999999999995
92009,6,2,2,10543,27.37,UG,2,10024,21.39,False,519,5.98
92010,7,1,2,29924,58.23,ENS,1,25675,43.85,False,4249,14.379999999999995
92010,8,2,2,21466,41.77,UG,2,20806,35.53,False,660,6.240000000000002
92012,6,1,2,34455,54.31,LR,1,26790,39.43,False,7665,14.880000000000003
92012,7,2,2,28985,45.69,UG,2,26034,38.32,False,2951,7.369999999999997
92013,2,2,2,26044,43.88,UG,2,24798,37.77,False,1246,6.109999999999999
92013,4,1,2,33310,56.12,ENS,1,25721,39.18,False,7589,16.939999999999998
93003,2,1,2,30688,69.71,UG,1,20648,41.68,False,10040,28.029999999999994
93003,10,2,2,13335,30.29,RN,2,10539,21.28,False,2796,9.009999999999998
93004,2,1,2,19486,69.98,UG,1,15760,44.52,False,3726,25.46
93004,3,2,2,8361,30.02,FI,2,8462,23.9,False,-101,6.120000000000001
93005,3,2,2,13362,39.45,UDI,2,9006,24.56,False,4356,14.890000000000004
93005,5,1,2,20511,60.55,UG,1,12141,33.1,False,8370,27.449999999999996
93007,2,1,2,25033,57.16,DVG,1,21802,40.19,False,3231,16.97
93007,10,2,2,18759,42.84,UG,2,19740,36.39,False,-981,6.450000000000003
93008,6,2,2,11301,31.59,RN,2,9291,23.86,False,2010,7.73
93008,8,1,2,24476,68.41,UG,1,19193,49.3,False,5283,19.11
93012,4,1,2,22974,64.59,UG,1,17566,45.11,False,5408,19.480000000000004
93012,5,2,2,12596,35.41,RN,2,10140,26.04,False,2456,9.369999999999997
94001,2,2,3,21897,36.63,UG,1,19974,33.03,True,1923,3.6000000000000014
94001,3,1,3,29142,48.75,DVD,2,16916,27.97,True,12226,20.78
94001,7,3,3,8738,14.62,RN,4,11100,18.36,True,-2362,-3.74
94003,5,2,3,13810,30.15,UXD,2,12491,27.31,False,1319,2.84
94003,7,3,3,10507,22.94,ENS,3,10871,23.77,False,-364,-0.8299999999999983
94003,8,1,3,21492,46.92,UG,1,19290,42.17,False,2202,4.75
94004,3,3,3,13789,27.37,RN,3,13474,26.95,False,315,0.4200000000000017
94004,5,2,3,18140,36.0,UG,1,16505,33.02,True,1635,2.979999999999997
94004,10,1,3,18454,36.63,ENS,2,15287,30.58,True,3167,6.050000000000004
94005,2,2,3,23845,39.44,UG,2,22657,37.27,False,1188,2.1699999999999946
94005,5,3,3,10448,17.28,RN,3,12401,20.4,False,-1953,-3.1199999999999974
94005,6,1,3,26159,43.27,ENS,1,23416,38.52,False,2743,4.75
94006,1,2,2,26049,47.46,UG,1,24417,40.63,True,1632,6.829999999999998
94006,5,1,2,28834,52.54,ENS,2,22464,37.38,True,6370,15.159999999999997
94007,2,2,2,20088,49.33,UG,1,18736,43.65,True,1352,5.68
94007,6,1,2,20633,50.67,LR,2,14869,34.64,True,5764,16.03
94008,1,2,2,21743,41.56,UG,2,20658,36.88,False,1085,4.68
94008,2,1,2,30568,58.44,LR,1,24722,44.13,False,5846,14.309999999999995
95001,2,2,3,20534,36.63,UG,2,17230,30.8,False,3304,5.830000000000002
95001,6,1,3,21025,37.51,RN,1,18823,33.65,False,2202,3.8599999999999994
95001,8,3,3,14494,25.86,ENS,3,14244,25.46,False,250,0.3999999999999986
95002,2,2,2,19281,40.49,RN,2,15544,30.21,False,3737,10.280000000000001
95002,6,1,2,28342,59.51,UG,1,17221,33.47,False,11121,26.04
95003,2,2,2,21860,37.46,RN,2,17608,27.59,False,4252,9.870000000000001
95003,4,1,2,36489,62.54,UG,1,22742,35.63,False,13747,26.909999999999997
95004,2,2,2,20008,44.61,UG,1,17498,34.65,True,2510,9.96
95004,6,1,2,24840,55.39,ENS,2,14084,27.89,True,10756,27.5
95006,1,2,3,16149,33.05,ENS,2,12745,25.78,False,3404,7.269999999999996
95006,4,1,3,21326,43.64,UG,1,18603,37.63,False,2723,6.009999999999998
95006,9,3,3,11389,23.31,RN,3,10911,22.07,False,478,1.2399999999999984
95007,4,1,2,24713,60.57,UG,1,16797,37.94,False,7916,22.630000000000003
95007,10,2,2,16088,39.43,RN,2,12065,27.25,False,4023,12.18
95009,7,2,2,15764,39.73,RN,2,12872,30.56,False,2892,9.169999999999998
95009,9,1,2,23918,60.27,UG,1,17157,40.73,False,6761,19.540000000000006
95010,4,1,2,26852,69.62,UG,1,18306,43.13,False,8546,26.490000000000002
95010,6,2,2,11716,30.38,RN,2,9667,22.78,False,2049,7.599999999999998
18001,1,1,2,25595,56.82,ENS,2,14961,33.01,True,10634,23.810000000000002
18001,4,2,2,19452,43.18,RN,1,18100,39.94,True,1352,3.240000000000002
18002,3,2,2,20220,49.37,RN,1,17246,40.56,True,2974,8.809999999999995
18002,6,1,2,20740,50.63,UG,2,12621,29.68,True,8119,20.950000000000003
18003,1,2,2,25578,47.21,RN,1,23501,43.15,True,2077,4.060000000000002
18003,6,1,2,28602,52.79,ENS,2,16991,31.2,True,11611,21.59
28001,1,1,2,35842,60.59,ENS,2,20105,32.89,True,15737,27.700000000000003
28001,3,2,2,23315,39.41,RN,1,20576,33.66,True,2739,5.75
28002,3,1,2,26422,57.25,LR,2,12109,25.92,True,14313,31.33
28002,4,2,2,19727,42.75,RN,1,17908,38.33,True,1819,4.420000000000002
28003,1,2,2,21478,47.42,RN,1,19178,42.41,True,2300,5.010000000000005
28003,3,1,2,23815,52.58,DVC,2,16439,36.35,True,7376,16.229999999999997
28004,1,1,2,22542,51.74,ENS,2,17236,39.44,True,5306,12.300000000000004
28004,4,2,2,21025,48.26,UXD,1,18854,43.15,True,2171,5.109999999999999
36001,4,1,2,27060,55.51,HOR,2,17256,35.12,True,9804,20.39
36001,5,2,2,21689,44.49,RN,1,19755,40.2,True,1934,4.289999999999999
36002,4,1,2,30423,52.76,LR,2,18700,31.82,True,11723,20.939999999999998
36002,5,2,2,27242,47.24,UXD,1,24512,41.71,True,2730,5.530000000000001
37001,4,2,2,17169,42.09,ENS,2,11333,24.17,False,5836,17.92
37001,6,1,2,23624,57.91,UG,1,21250,45.32,False,2374,12.589999999999996
37002,1,1,2,37343,59.99,ENS,2,20801,32.58,True,16542,27.410000000000004
37002,3,2,2,24906,40.01,RN,1,22396,35.08,True,2510,4.93
37003,2,1,2,41028,62.24,ENS,1,22174,32.87,False,18854,29.370000000000005
37003,5,2,2,24896,37.76,UXD,2,21724,32.21,False,3172,5.549999999999997
37004,4,1,2,33179,57.41,UG,2,18374,29.73,True,14805,27.679999999999996
37004,5,2,2,24615,42.59,RN,1,20328,32.89,True,4287,9.700000000000003
37005,4,2,2,23869,40.73,RN,1,21118,35.25,True,2751,5.479999999999997
37005,6,1,2,34741,59.27,ENS,2,16025,26.75,True,18716,32.52
41001,3,1,2,32334,60.2,ENS,2,18711,34.56,True,13623,25.64
41001,5,2,2,21378,39.8,RN,1,19069,35.22,True,2309,4.579999999999998
41002,4,2,2,24855,47.76,DVD,2,10340,20.07,False,14515,27.689999999999998
41002,7,1,2,27188,52.24,RN,1,25611,49.72,False,1577,2.520000000000003
41003,1,1,2,30055,54.72,ENS,2,20014,36.25,True,10041,18.47
41003,3,2,2,24875,45.28,RN,1,22674,41.06,True,2201,4.219999999999999
45001,1,2,2,16667,32.32,RN,3,14880,28.03,True,1787,4.289999999999999
45001,6,1,2,34909,67.68,ENS,1,16775,31.6,False,18134,36.080000000000005
45002,5,1,2,29934,56.15,UG,2,16148,28.03,True,13786,28.119999999999997
45002,7,2,2,23375,43.85,RN,1,18957,32.91,True,4418,10.940000000000005
45003,1,1,2,23863,51.11,DVD,2,15041,32.04,True,8822,19.07
45003,3,2,2,22827,48.89,RN,1,21373,45.53,True,1454,3.3599999999999994
45004,3,2,2,16104,37.41,UG,2,9889,21.14,False,6215,16.269999999999996
45004,7,1,2,26947,62.59,RN,1,23231,49.65,False,3716,12.940000000000005
45005,1,2,2,23335,49.3,RN,1,20893,43.37,True,2442,5.93
45005,5,1,2,23999,50.7,ENS,2,10604,22.01,True,13395,28.69
45006,1,1,2,31737,63.31,ENS,2,15635,30.6,True,16102,32.71
45006,2,2,2,18392,36.69,RN,1,16253,31.81,True,2139,4.879999999999999
21001,1,1,3,18716,37.15,UG,1,14679,29.16,False,4037,7.989999999999998
21001,4,2,3,17314,34.36,ENS,2,13830,27.48,False,3484,6.879999999999999
21001,5,3,3,14356,28.49,RN,3,12969,25.77,False,1387,2.719999999999999
21002,1,2,2,21184,46.37,RN,1,17181,34.64,True,4003,11.729999999999997
21002,2,1,2,24498,53.63,UG,2,13723,27.67,True,10775,25.96
21003,4,1,2,24555,53.15,UG,2,14533,29.59,True,10022,23.56
21003,5,2,2,21646,46.85,UXD,1,17406,35.44,True,4240,11.410000000000004
21004,1,1,2,25179,53.96,LR,2,16531,35.19,True,8648,18.770000000000003
21004,2,2,2,21481,46.04,RN,1,19838,42.24,True,1643,3.799999999999997
21005,1,2,2,28634,49.96,ENS,2,18130,30.98,False,10504,18.98
21005,6,1,2,28676,50.04,RN,1,26518,45.31,False,2158,4.729999999999997
25001,3,2,3,17261,32.31,RN,3,16264,31.2,True,997,1.110000000000003
25001,6,3,3,16830,31.51,UG,2,16555,31.76,True,275,-0.25
25001,7,1,3,19324,36.18,ENS,1,17475,33.52,False,1849,2.6599999999999966
25002,1,1,2,31053,59.95,UG,1,19160,34.16,False,11893,25.790000000000006
25002,3,2,2,20749,40.05,RN,2,16895,30.12,False,3854,9.929999999999996
25003,1,1,2,21543,50.76,UXD,1,18795,44.35,False,2748,6.409999999999997
25003,4,2,2,20901,49.24,ENS,2,12806,30.22,False,8095,19.020000000000003
25004,2,1,2,22274,54.85,RN,1,19891,47.63,False,2383,7.219999999999999
25004,3,2,2,18333,45.15,UG,2,11804,28.26,False,6529,16.889999999999997
25005,3,1,2,35576,62.69,LR,1,20356,35.2,False,15220,27.489999999999995
25005,6,2,2,21173,37.31,RN,2,19505,33.73,False,1668,3.5800000000000054
39001,1,2,2,19049,43.15,RN,1,17517,39.03,True,1532,4.119999999999997
39001,4,1,2,25097,56.85,ENS,2,16231,36.16,True,8866,20.690000000000005
39002,5,2,2,12568,34.98,RN,2,12315,32.76,False,253,2.219999999999999
39002,6,1,2,23359,65.02,LR,1,14507,38.59,False,8852,26.429999999999993
39003,3,1,2,26822,56.19,LR,2,16727,34.34,True,10095,21.849999999999994
39003,4,2,2,20915,43.81,RN,1,19354,39.73,True,1561,4.080000000000005
58001,2,1,2,24627,53.67,ENS,2,13593,29.4,True,11034,24.270000000000003
58001,6,2,2,21256,46.33,RN,1,18870,40.81,True,2386,5.519999999999996
58002,2,2,2,22686,45.18,UG,2,13788,26.32,False,8898,18.86
58002,6,1,2,27522,54.82,RN,1,23480,44.82,False,4042,10.0
70001,3,2,2,27812,46.46,ENS,2,18093,29.99,False,9719,16.470000000000002
70001,4,1,2,32044,53.54,RN,1,29458,48.82,False,2586,4.719999999999999
71001,2,1,2,30145,60.56,ENS,2,15546,30.6,True,14599,29.96
71001,4,2,2,19636,39.44,RN,1,17602,34.65,True,2034,4.789999999999999
71002,2,2,2,21360,41.61,RN,1,19738,37.85,True,1622,3.759999999999998
71002,5,1,2,29977,58.39,LR,2,17511,33.58,True,12466,24.810000000000002
71003,1,2,2,26458,49.94,ENS,2,13606,25.1,False,12852,24.839999999999996
71003,7,1,2,26523,50.06,RN,1,23130,42.67,False,3393,7.390000000000001
71004,3,2,2,24283,45.34,UG,2,16403,29.96,False,7880,15.380000000000003
71004,4,1,2,29272,54.66,UXD,1,24276,44.34,False,4996,10.319999999999993
71005,2,1,3,22657,40.57,RN,1,19807,35.12,False,2850,5.450000000000003
71005,3,3,3,15593,27.92,DVD,4,10746,19.06,True,4847,8.860000000000003
71005,4,2,3,17591,31.5,UG,2,13130,23.28,False,4461,8.219999999999999
89001,5,2,2,22459,48.62,UG,2,12851,25.34,False,9608,23.279999999999998
89001,6,1,2,23736,51.38,RN,1,20486,40.4,False,3250,10.980000000000004
89002,1,1,2,23736,50.42,UXD,1,20997,44.51,False,2739,5.910000000000004
89002,5,2,2,23341,49.58,ENS,2,13837,29.33,False,9504,20.25
90001,2,2,2,14108,44.62,RN,1,12718,39.73,True,1390,4.890000000000001
90001,3,1,2,17512,55.38,LR,2,7679,23.99,True,9833,31.390000000000004
90002,2,2,2,14209,49.41,UG,2,8799,28.02,False,5410,21.389999999999997
90002,6,1,2,14546,50.59,RN,1,11888,37.86,False,2658,12.730000000000004
14001,1,2,2,19229,40.13,UG,2,18250,34.82,False,979,5.310000000000002
14001,4,1,2,28691,59.87,DVD,1,22596,43.11,False,6095,16.759999999999998
14002,3,1,2,29761,68.28,UG,1,19662,42.34,False,10099,25.939999999999998
14002,4,2,2,13823,31.72,RN,2,11999,25.84,False,1824,5.879999999999999
14003,4,1,2,28545,54.78,ENS,2,19144,36.46,True,9401,18.32
14003,7,2,2,23562,45.22,RN,1,21575,41.09,True,1987,4.1299999999999955
14004,5,2,2,28610,40.58,RN,1,24230,33.65,True,4380,6.93
14004,7,1,2,41893,59.42,ENS,2,23622,32.8,True,18271,26.620000000000005
14005,3,1,2,39408,61.68,ENS,2,16208,24.59,True,23200,37.09
