NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
VALLAUD-BELKACEM,Najat,Mme,SOC,Socialiste,18210,"  43,43","  24,26",non,06904,43.43,24.26
CHABERT,Henry,M.,UMP,Union pour un Mouvement Populaire,18532,"  46,19","  24,90",non,06906,46.19,24.9
CROZON,Pascale,Mme,SOC,Socialiste,21592,"  53,81","  29,01",oui,06906,53.81,29.01
DEBIOL,Jean-François,M.,UMP,Union pour un Mouvement Populaire,15147,"  47,73","  24,95",non,06907,47.73,24.95
QUEYRANNE,Jean-Jack,M.,SOC,Socialiste,16591,"  52,27","  27,33",oui,06907,52.27,27.33
GUILLOTEAU,Christophe,M.,UMP,Union pour un Mouvement Populaire,32514,"  63,99","  36,20",oui,06910,63.99,36.2
PERRIN,Florence,Mme,SOC,Socialiste,18295,"  36,01","  20,37",non,06910,36.01,20.37
FENECH,Georges,M.,UMP,Union pour un Mouvement Populaire,25843,"  56,54","  32,24",oui,06911,56.54,32.24
GAGNEUR,Jean-François,M.,SOC,Socialiste,19865,"  43,46","  24,78",non,06911,43.46,24.78
POMMATEAU,Gilles,M.,SOC,Socialiste,17090,"  41,01","  23,07",non,06912,41.01,23.07
TERROT,Michel,M.,UMP,Union pour un Mouvement Populaire,24580,"  58,99","  33,19",oui,06912,58.99,33.19
DAVID,Martine,Mme,SOC,Socialiste,21522,"  42,83","  23,55",non,06913,42.83,23.55
MEUNIER,Philippe,M.,UMP,Union pour un Mouvement Populaire,28729,"  57,17","  31,44",oui,06913,57.17,31.44
DENIS,Michel,M.,UMP,Union pour un Mouvement Populaire,11631,"  46,15","  23,10",non,06914,46.15,23.1
GERIN,André,M.,COM,Communiste,13574,"  53,85","  26,96",oui,06914,53.85,26.96
BRIOT,Maryvonne,Mme,UMP,Union pour un Mouvement Populaire,19498,"  48,39","  30,41",non,07002,48.39,30.41
VILLAUMÉ,Jean-Michel,M.,SOC,Socialiste,20795,"  51,61","  32,43",oui,07002,51.61,32.43
ESCHMANN,Nicole,Mme,SOC,Socialiste,17106,"  44,45","  25,36",non,07101,44.45,25.36
VOISIN,Gérard,M.,UMP,Union pour un Mouvement Populaire,21380,"  55,55","  31,70",oui,07101,55.55,31.7
NESME,Jean-Marc,M.,UMP,Union pour un Mouvement Populaire,20262,"  50,09","  31,40",oui,07102,50.09,31.4
REBILLARD,Jacques,M.,RDG,Radical de gauche,20187,"  49,91","  31,28",non,07102,49.91,31.28
COUILLEROT,Evelyne,Mme,SOC,Socialiste,20006,"  48,51","  29,99",non,07103,48.51,29.99
ANCIAUX,Jean-Paul,M.,UMP,Union pour un Mouvement Populaire,21233,"  51,49","  31,83",oui,07103,51.49,31.83
JARROT,Marie-Claude,Mme,UMP,Union pour un Mouvement Populaire,19635,"  48,77","  31,75",non,07104,48.77,31.75
MATHUS,Didier,M.,SOC,Socialiste,20629,"  51,23","  33,35",oui,07104,51.23,33.35
JUILLOT,Dominique,M.,UMP,Union pour un Mouvement Populaire,19256,"  49,70","  29,81",non,07105,49.7,29.81
SIRUGUE,Christophe,M.,SOC,Socialiste,19488,"  50,30","  30,17",oui,07105,50.3,30.17
DANJEAN,Arnaud,M.,UMP,Union pour un Mouvement Populaire,28965,"  49,66","  34,02",non,07106,49.66,34.02
MONTEBOURG,Arnaud,M.,SOC,Socialiste,29361,"  50,34","  34,48",oui,07106,50.34,34.48
LABRETTE-MENAGER,Fabienne,Mme,UMP,Union pour un Mouvement Populaire,22158,"  56,55","  31,01",oui,07201,56.55,31.01
DUBOIS,Françoise,Mme,SOC,Socialiste,17026,"  43,45","  23,82",non,07201,43.45,23.82
GEVEAUX,Jean-Marie,M.,UMP,Union pour un Mouvement Populaire,21261,"  47,52","  25,86",non,07202,47.52,25.86
KARAMANLI,Marietta,Mme,SOC,Socialiste,23476,"  52,48","  28,55",oui,07202,52.48,28.55
PAVY,Béatrice,Mme,UMP,Union pour un Mouvement Populaire,26595,"  55,16","  31,65",oui,07203,55.16,31.65
LORILLEUX,Agnès,Mme,SOC,Socialiste,21619,"  44,84","  25,73",non,07203,44.84,25.73
LE MENER,Dominique,M.,UMP,Union pour un Mouvement Populaire,27754,"  55,11","  31,97",oui,07205,55.11,31.97
