NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
4,BRIFFAUT,Franck,M.,FN,Front National,10205,"  21,09","  12,59",non,00205,21.09,12.59
4,CHAMBEFORT,Guy,M.,SOC,Socialiste,31207,"  57,62","  34,54",oui,00301,57.62,34.54
6,PERISSOL,Pierre-André,M.,UMP,Union pour un Mouvement Populaire,22956,"  42,38","  25,41",non,00301,42.38,25.41
4,LESTERLIN,Bernard,M.,SOC,Socialiste,30459,"  59,24","  35,13",oui,00302,59.24,35.13
10,DUGLERY,Daniel,M.,UMP,Union pour un Mouvement Populaire,20956,"  40,76","  24,17",non,00302,40.76,24.17
1,MALHURET,Claude,M.,UMP,Union pour un Mouvement Populaire,19546,"  42,63","  24,74",non,00303,42.63,24.74
11,CHARASSE,Gérard,M.,RDG,Radical de Gauche,26301,"  57,37","  33,29",oui,00303,57.37,33.29
9,SAUVAN,Gilbert,M.,SOC,Socialiste,20785,"  58,60","  34,31",oui,00401,58.6,34.31
10,BARREILLE,Eliane,Mme,UMP,Union pour un Mouvement Populaire,14684,"  41,40","  24,24",non,00401,41.4,24.24
6,CASTEL,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,17357,"  45,96","  27,40",non,00402,45.96,27.4
8,CASTANER,Christophe,M.,SOC,Socialiste,20411,"  54,04","  32,22",oui,00402,54.04,32.22
1,BERGER,Karine,Mme,SOC,Socialiste,17804,"  54,71","  31,72",oui,00501,54.71,31.72
2,COINTE,Jean,M.,UMP,Union pour un Mouvement Populaire,14738,"  45,29","  26,25",non,00501,45.29,26.25
1,EYMEOUD,Chantal,Mme,UMP,Union pour un Mouvement Populaire,12926,"  42,54","  25,43",non,00502,42.54,25.43
2,GIRAUD,Joël,M.,RDG,Radical de Gauche,17461,"  57,46","  34,36",oui,00502,57.46,34.36
6,CIOTTI,Eric,M.,UMP,Union pour un Mouvement Populaire,25473,"  60,73","  30,95",oui,00601,60.73,30.95
13,ALLEMAND,Patrick,M.,SOC,Socialiste,16473,"  39,27","  20,01",non,00601,39.27,20.01
1,ASCHIERI,André,M.,VEC,Europe-Ecologie-Les Verts,20880,"  46,71","  25,34",non,00602,46.71,25.34
3,GINESY,Charles Ange,M.,UMP,Union pour un Mouvement Populaire,23822,"  53,29","  28,91",oui,00602,53.29,28.91
13,DOREJO,Christine,Mme,SOC,Socialiste,17611,"  41,27","  20,15",non,00603,41.27,20.15
17,SALLES,Rudy,M.,NCE,Nouveau Centre,25060,"  58,73","  28,68",oui,00603,58.73,28.68
4,SCHENARDI,Lydia,Mme,FN,Front National,16595,"  44,78","  19,55",non,00604,44.78,19.55
7,GUIBAL,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,20467,"  55,22","  24,11",oui,00604,55.22,24.11
2,ESTROSI,Christian,M.,UMP,Union pour un Mouvement Populaire,28019,"  63,41","  32,80",oui,00605,63.41,32.8
11,CUTURELLO,Paul,M.,SOC,Socialiste,16168,"  36,59","  18,92",non,00605,36.59,18.92
1,GROSJEAN,Adrien,M.,FN,Front National,11757,"  33,87","  14,59",non,00608,33.87,14.59
7,BROCHAND,Bernard,M.,UMP,Union pour un Mouvement Populaire,22951,"  66,13","  28,48",oui,00608,66.13,28.48
3,TABAROT,Michèle,Mme,UMP,Union pour un Mouvement Populaire,24344,"  61,32","  31,49",oui,00609,61.32,31.49
7,GOURDON,Marie-Louise,Mme,SOC,Socialiste,15359,"  38,68","  19,87",non,00609,38.68,19.87
1,TERRASSE,Pascal,M.,SOC,Socialiste,27581,"  67,20","  35,99",oui,00701,67.2,35.99
2,GRANGIS,Christian,M.,FN,Front National,13463,"  32,80","  17,56",non,00701,32.8,17.56
1,DUSSOPT,Olivier,M.,SOC,Socialiste,28990,"  53,35","  31,91",oui,00702,53.35,31.91
2,DARNAUD,Mathieu,M.,UMP,Union pour un Mouvement Populaire,25347,"  46,65","  27,90",non,00702,46.65,27.9
1,BUIS,Sabine,Mme,SOC,Socialiste,25536,"  51,23","  33,56",oui,00703,51.23,33.56
2,FLORY,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,24309,"  48,77","  31,95",non,00703,48.77,31.95
1,POLETTI,Bérengère,Mme,UMP,Union pour un Mouvement Populaire,22687,"  55,30","  30,96",oui,00801,55.3,30.96
2,LEDOUX,Claudine,Mme,SOC,Socialiste,18339,"  44,70","  25,03",non,00801,44.7,25.03
1,LEONARD,Christophe,M.,SOC,Socialiste,18469,"  53,63","  28,36",oui,00802,53.63,28.36
2,RAVIGNON,Boris,M.,UMP,Union pour un Mouvement Populaire,15970,"  46,37","  24,52",non,00802,46.37,24.52
7,FAURÉ,Alain,M.,SOC,Socialiste,22587,"  67,03","  37,80",oui,00902,67.03,37.8
8,CALLEJA,Philippe,M.,UMP,Union pour un Mouvement Populaire,11108,"  32,97","  18,59",non,00902,32.97,18.59
2,DHUICQ,Nicolas,M.,UMP,Union pour un Mouvement Populaire,17122,"  44,18","  26,58",oui,01001,44.18,26.58
3,SUBTIL,Bruno,M.,FN,Front National,9226,"  23,81","  14,32",non,01001,23.81,14.32
6,GAUDOT,René,M.,RDG,Radical de Gauche,12407,"  32,01","  19,26",non,01001,32.01,19.26
9,FOURNIER,Yves,M.,SOC,Socialiste,17453,"  42,76","  23,93",non,01002,42.76,23.93
10,MATHIS,Jean-Claude,M.,UMP,Union pour un Mouvement Populaire,23361,"  57,24","  32,04",oui,01002,57.24,32.04
9,JOLY,Lorette,Mme,SOC,Socialiste,15466,"  43,55","  23,36",non,01003,43.55,23.36
12,BAROIN,François,M.,UMP,Union pour un Mouvement Populaire,20051,"  56,45","  30,29",oui,01003,56.45,30.29
3,MORIO,Robert,M.,FN,Front National,20809,"  39,03","  22,43",non,01101,39.03,22.43
9,PEREZ,Jean-Claude,M.,SOC,Socialiste,32510,"  60,97","  35,05",oui,01101,60.97,35.05
2,PY,Michel,M.,UMP,Union pour un Mouvement Populaire,19953,"  43,17","  23,84",non,01102,43.17,23.84
3,FABRE,Marie-Hélène,Mme,SOC,Socialiste,26262,"  56,83","  31,37",oui,01102,56.83,31.37
5,DUPRE,Jean-Paul,M.,SOC,Socialiste,32520,"  62,95","  37,09",oui,01103,62.95,37.09
8,BRESSON,Emmanuel,M.,UMP,Union pour un Mouvement Populaire,19141,"  37,05","  21,83",non,01103,37.05,21.83
1,BULTEL-HERMENT,Monique,Mme,SOC,Socialiste,23666,"  49,33","  31,36",non,01201,49.33,31.36
2,CENSI,Yves,M.,UMP,Union pour un Mouvement Populaire,24311,"  50,67","  32,22",oui,01201,50.67,32.22
1,MARCEL,Marie-Lou,Mme,SOC,Socialiste,27468,"  63,49","  38,92",oui,01202,63.49,38.92
2,TRANIER,Laurent,M.,UMP,Union pour un Mouvement Populaire,15798,"  36,51","  22,38",non,01202,36.51,22.38
1,MARC,Alain,M.,UMP,Union pour un Mouvement Populaire,24962,"  53,96","  34,71",oui,01203,53.96,34.71
2,FOULQUIER,Marie-Thérèse,Mme,VEC,Europe-Ecologie-Les Verts,21302,"  46,04","  29,62",non,01203,46.04,29.62
1,BOYER,Valérie,Mme,UMP,Union pour un Mouvement Populaire,19689,"  50,65","  26,65",oui,01301,50.65,26.65
2,MASSE,Christophe,M.,SOC,Socialiste,19184,"  49,35","  25,96",non,01301,49.35,25.96
1,MIGNARD,Jean-Pierre,M.,SOC,Socialiste,16891,"  41,54","  21,83",non,01302,41.54,21.83
2,TIAN,Dominique,M.,UMP,Union pour un Mouvement Populaire,23771,"  58,46","  30,72",oui,01302,58.46,30.72
1,RAVIER,Stéphane,M.,FN,Front National,17263,"  49,01","  24,54",non,01303,49.01,24.54
2,ANDRIEUX,Sylvie,Mme,SOC,Socialiste,17962,"  50,99","  25,53",oui,01303,50.99,25.53
1,MENNUCCI,Patrick,M.,SOC,Socialiste,19163,"  70,51","  32,64",oui,01304,70.51,32.64
2,AUCOUTURIER,Marie-Claude,Mme,FN,Front National,8015,"  29,49","  13,65",non,01304,29.49,13.65
1,CARLOTTI,Marie-Arlette,Mme,SOC,Socialiste,20212,"  51,81","  29,43",oui,01305,51.81,29.43
2,MUSELIER,Renaud,M.,UMP,Union pour un Mouvement Populaire,18799,"  48,19","  27,37",non,01305,48.19,27.37
1,SEMERIVA,Pierre,M.,VEC,Europe-Ecologie-Les Verts,15091,"  37,46","  20,79",non,01306,37.46,20.79
2,TEISSIER,Guy,M.,UMP,Union pour un Mouvement Populaire,17101,"  42,45","  23,56",oui,01306,42.45,23.56
3,COMAS,Laurent,M.,FN,Front National,8089,"  20,08","  11,14",non,01306,20.08,11.14
1,JIBRAYEL,Henri,M.,SOC,Socialiste,17034,"  62,34","  27,00",oui,01307,62.34,27.0
2,MARANDAT,Bernard,M.,FN,Front National,10292,"  37,66","  16,31",non,01307,37.66,16.31
1,GERIN,Gérald,M.,FN,Front National,10816,"  19,61","  11,61",non,01308,19.61,11.61
2,ISNARD,Nicolas,M.,UMP,Union pour un Mouvement Populaire,22013,"  39,91","  23,64",non,01308,39.91,23.64
3,FERRAND,Olivier,M.,SOC,Socialiste,22331,"  40,48","  23,99",oui,01308,40.48,23.99
1,MELIN,Joëlle,Mme,FN,Front National,14963,"  37,44","  16,15",non,01309,37.44,16.15
2,DEFLESSELLES,Bernard,M.,UMP,Union pour un Mouvement Populaire,25001,"  62,56","  26,99",oui,01309,62.56,26.99
1,GUENNEC,Pascale-Edith,Mme,FN,Front National,11989,"  20,23","  11,96",non,01310,20.23,11.96
2,LAMBERT,François-Michel,M.,VEC,Europe-Ecologie-Les Verts,24670,"  41,64","  24,62",oui,01310,41.64,24.62
3,MALLIE,Richard,M.,UMP,Union pour un Mouvement Populaire,22592,"  38,13","  22,54",non,01310,38.13,22.54
1,KERT,Christian,M.,UMP,Union pour un Mouvement Populaire,23531,"  50,98","  27,57",oui,01311,50.98,27.57
2,LENFANT,Gaëlle,Mme,SOC,Socialiste,22630,"  49,02","  26,51",non,01311,49.02,26.51
1,CUPOLATI,Paul,M.,FN,Front National,13089,"  26,06","  14,70",non,01312,26.06,14.7
2,BURRONI,Vincent,M.,SOC,Socialiste,18754,"  37,34","  21,07",oui,01312,37.34,21.07
3,DIARD,Eric,M.,UMP,Union pour un Mouvement Populaire,18381,"  36,60","  20,65",non,01312,36.6,20.65
1,CHARROUX,Gaby,M.,FG,Front de gauche,29919,"  60,28","  33,03",oui,01313,60.28,33.03
2,ESPALLARDO,Béatrix,Mme,FN,Front National,19717,"  39,72","  21,76",non,01313,39.72,21.76
1,CIOT,Jean-David,M.,SOC,Socialiste,28941,"  53,55","  30,81",oui,01314,53.55,30.81
2,JOISSAINS-MASINI,Maryse,Mme,UMP,Union pour un Mouvement Populaire,25107,"  46,45","  26,72",non,01314,46.45,26.72
1,PONSDESSERRE,Olivia,Mme,FN,Front National,13404,"  22,47","  13,63",non,01315,22.47,13.63
2,REYNES,Bernard,M.,UMP,Union pour un Mouvement Populaire,24812,"  41,60","  25,24",oui,01315,41.6,25.24
3,AUBERT,Nicette,Mme,DVG,Divers gauche,21434,"  35,93","  21,80",non,01315,35.93,21.8
1,LAUPIES,Valérie,Mme,FN,Front National,25469,"  48,71","  28,74",non,01316,48.71,28.74
2,VAUZELLE,Michel,M.,SOC,Socialiste,26814,"  51,29","  30,26",oui,01316,51.29,30.26
5,BRUNEAU,Joël,M.,UMP,Union pour un Mouvement Populaire,17026,"  43,06","  24,25",non,01401,43.06,24.25
7,DURON,Philippe,M.,SOC,Socialiste,22511,"  56,94","  32,06",oui,01401,56.94,32.06
1,DUMONT,Laurence,Mme,SOC,Socialiste,22880,"  62,49","  34,09",oui,01402,62.49,34.09
7,THOMAS,Rodolphe,M.,CEN,Le Centre pour la France,13734,"  37,51","  20,46",non,01402,37.51,20.46
5,VALTER,Clotilde,Mme,SOC,Socialiste,23010,"  51,20","  29,32",oui,01403,51.2,29.32
7,LETEURTRE,Claude,M.,NCE,Nouveau Centre,21934,"  48,80","  27,95",non,01403,48.8,27.95
2,AMELINE,Nicole,Mme,UMP,Union pour un Mouvement Populaire,29071,"  52,89","  29,74",oui,01404,52.89,29.74
8,LE MARREC,Clémentine,Mme,SOC,Socialiste,25891,"  47,11","  26,49",non,01404,47.11,26.49
7,NOUVELOT,Cédric,M.,UMP,Union pour un Mouvement Populaire,24960,"  49,29","  28,88",non,01405,49.29,28.88
9,ATTARD,Isabelle,Mme,VEC,Europe-Ecologie-Les Verts,25683,"  50,71","  29,71",oui,01405,50.71,29.71
3,TOURRET,Alain,M.,RDG,Radical de Gauche,29570,"  53,27","  32,50",oui,01406,53.27,32.5
6,COUSIN,Jean-Yves,M.,UMP,Union pour un Mouvement Populaire,25940,"  46,73","  28,51",non,01406,46.73,28.51
1,DESCOEUR,Vincent,M.,UMP,Union pour un Mouvement Populaire,20500,"  48,37","  31,81",non,01501,48.37,31.81
2,CALMETTE,Alain,M.,SOC,Socialiste,21883,"  51,63","  33,96",oui,01501,51.63,33.96
9,REYNAUD,Marie-Line,Mme,SOC,Socialiste,26733,"  57,08","  31,52",oui,01602,57.08,31.52
12,SAUVAITRE,Daniel,M.,UMP,Union pour un Mouvement Populaire,20099,"  42,92","  23,70",non,01602,42.92,23.7
1,ROYAL,Ségolène,Mme,SOC,Socialiste,22661,"  37,02","  22,94",non,01701,37.02,22.94
2,FALORNI,Olivier,M.,DVG,Divers gauche,38545,"  62,98","  39,03",oui,01701,62.98,39.03
1,LEONARD,Jean-Louis,M.,UMP,Union pour un Mouvement Populaire,26391,"  47,01","  27,07",non,01702,47.01,27.07
2,TALLARD,Suzanne,Mme,SOC,Socialiste,29752,"  52,99","  30,51",oui,01702,52.99,30.51
1,QUERE,Catherine,Mme,SOC,Socialiste,26574,"  59,12","  32,51",oui,01703,59.12,32.51
2,NEVEU,Frédéric,M.,UMP,Union pour un Mouvement Populaire,18373,"  40,88","  22,47",non,01703,40.88,22.47
1,DUGAS-RAVENEAU,Fabienne,Mme,SOC,Socialiste,24540,"  47,85","  27,98",non,01704,47.85,27.98
2,BUSSEREAU,Dominique,M.,UMP,Union pour un Mouvement Populaire,26740,"  52,15","  30,49",oui,01704,52.15,30.49
1,QUENTIN,Didier,M.,UMP,Union pour un Mouvement Populaire,32697,"  53,99","  30,84",oui,01705,53.99,30.84
2,FERCHAUD,Pascal,M.,RDG,Radical de Gauche,27866,"  46,01","  26,28",non,01705,46.01,26.28
1,FROMION,Yves,M.,UMP,Union pour un Mouvement Populaire,21058,"  50,52","  28,62",oui,01801,50.52,28.62
2,BEZOUI,Céline,Mme,SOC,Socialiste,20622,"  49,48","  28,03",non,01801,49.48,28.03
3,SANSU,Nicolas,M.,FG,Front de gauche,15742," 100,00","  22,45",oui,01802,100.0,22.45
5,COSYNS,Louis,M.,UMP,Union pour un Mouvement Populaire,22204,"  44,54","  25,49",non,01803,44.54,25.49
7,GALUT,Yann,M.,SOC,Socialiste,27646,"  55,46","  31,74",oui,01803,55.46,31.74
1,NAUCHE,Philippe,M.,SOC,Socialiste,33193,"  58,96","  36,10",oui,01902,58.96,36.1
2,COSTE,Pascal,M.,UMP,Union pour un Mouvement Populaire,23100,"  41,04","  25,12",non,01902,41.04,25.12
5,RENUCCI,Simon,M.,DVG,Divers gauche,13779,"  49,48","  28,79",non,02A01,49.48,28.79
10,MARCANGELI,Laurent,M.,UMP,Union pour un Mouvement Populaire,14066,"  50,52","  29,39",oui,02A01,50.52,29.39
4,DE ROCCA SERRA,Camille,M.,UMP,Union pour un Mouvement Populaire,15983,"  53,09","  29,74",oui,02A02,53.09,29.74
6,ANGELINI,Jean-Christophe,M.,REG,Régionaliste,14121,"  46,91","  26,27",non,02A02,46.91,26.27
1,SIMEONI,Gilles,M.,REG,Régionaliste,10906,"  31,22","  19,95",non,02B01,31.22,19.95
4,ZUCCARELLI,Jean,M.,RDG,Radical de Gauche,10728,"  30,71","  19,62",non,02B01,30.71,19.62
8,GANDOLFI-SCHEIT,Sauveur,M.,UMP,Union pour un Mouvement Populaire,13297,"  38,07","  24,32",oui,02B01,38.07,24.32
1,GIACOBBI,Paul,M.,RDG,Radical de Gauche,23396,"  64,34","  36,59",oui,02B02,64.34,36.59
6,GRIMALDI,Stéphanie,Mme,UMP,Union pour un Mouvement Populaire,12968,"  35,66","  20,28",non,02B02,35.66,20.28
1,DEPIERRE,Bernard,M.,UMP,Union pour un Mouvement Populaire,19489,"  47,67","  28,81",non,02101,47.67,28.81
2,GRANDGUILLAUME,Laurent,M.,SOC,Socialiste,21395,"  52,33","  31,63",oui,02101,52.33,31.63
1,PRIBETICH,Pierre,M.,SOC,Socialiste,18400,"  48,00","  27,79",non,02102,48.0,27.79
2,DELATTE,Rémi,M.,UMP,Union pour un Mouvement Populaire,19935,"  52,00","  30,11",oui,02102,52.0,30.11
1,CARAVEL,Pascale,Mme,UMP,Union pour un Mouvement Populaire,17660,"  46,96","  25,52",non,02103,46.96,25.52
2,BOUZIANE,Kheira,Mme,SOC,Socialiste,19948,"  53,04","  28,82",oui,02103,53.04,28.82
1,MOLINOZ,Patrick,M.,RDG,Radical de Gauche,20273,"  46,96","  29,36",non,02104,46.96,29.36
2,SAUVADET,François,M.,NCE,Nouveau Centre,22900,"  53,04","  33,16",oui,02104,53.04,33.16
1,CADOUX,Daniel,M.,SOC,Socialiste,20908,"  43,76","  25,20",non,02105,43.76,25.2
2,SUGUENOT,Alain,M.,UMP,Union pour un Mouvement Populaire,26874,"  56,24","  32,39",oui,02105,56.24,32.39
7,GRONDIN,Sylvie,Mme,UMP,Union pour un Mouvement Populaire,17321,"  34,14","  19,45",non,02201,34.14,19.45
9,LESAGE,Michel,M.,SOC,Socialiste,33417,"  65,86","  37,53",oui,02201,65.86,37.53
4,VASPART,Michel,M.,UMP,Union pour un Mouvement Populaire,24523,"  42,04","  26,15",non,02202,42.04,26.15
10,LE DISSEZ,Viviane,Mme,SOC,Socialiste,33812,"  57,96","  36,05",oui,02202,57.96,36.05
6,CAURET,Loïc,M.,SOC,Socialiste,27324,"  45,72","  31,64",non,02203,45.72,31.64
8,LE FUR,Marc,M.,UMP,Union pour un Mouvement Populaire,32436,"  54,28","  37,56",oui,02203,54.28,37.56
1,GARCIA,Valérie,Mme,UMP,Union pour un Mouvement Populaire,14926,"  31,48","  18,74",non,02204,31.48,18.74
8,LE HOUEROU,Annie,Mme,DVG,Divers gauche,32487,"  68,52","  40,79",oui,02204,68.52,40.79
3,ERHEL,Corinne,Mme,SOC,Socialiste,39319,"  63,97","  38,42",oui,02205,63.97,38.42
9,LEC'HVIEN,Xavier,M.,UMP,Union pour un Mouvement Populaire,22142,"  36,03","  21,63",non,02205,36.03,21.63
1,AUCLAIR,Jean,M.,UMP,Union pour un Mouvement Populaire,26157,"  42,45","  27,04",non,02301,42.45,27.04
2,VERGNIER,Michel,M.,SOC,Socialiste,35464,"  57,55","  36,66",oui,02301,57.55,36.66
6,DEGUILHEM,Pascal,M.,SOC,Socialiste,29347,"  65,99","  39,09",oui,02401,65.99,39.09
11,CORNET,Philippe,M.,UMP,Union pour un Mouvement Populaire,15124,"  34,01","  20,14",non,02401,34.01,20.14
5,ALLAIN,Brigitte,Mme,VEC,Europe-Ecologie-Les Verts,25284,"  53,19","  31,17",oui,02402,53.19,31.17
10,MORTEMOUSQUE,Dominique,M.,UMP,Union pour un Mouvement Populaire,22247,"  46,81","  27,42",non,02402,46.81,27.42
1,BRANGET,Françoise,Mme,UMP,Union pour un Mouvement Populaire,18964,"  45,27","  25,97",non,02501,45.27,25.97
2,ROMAGNAN,Barbara,Mme,SOC,Socialiste,22925,"  54,73","  31,39",oui,02501,54.73,31.39
1,GROSPERRIN,Jacques,M.,UMP,Union pour un Mouvement Populaire,23124,"  49,88","  30,30",non,02502,49.88,30.3
2,ALAUZET,Eric,M.,VEC,Europe-Ecologie-Les Verts,23232,"  50,12","  30,44",oui,02502,50.12,30.44
1,MARTHEY,Arnaud,M.,SOC,Socialiste,18512,"  49,00","  28,28",non,02503,49.0,28.28
2,BONNOT,Marcel,M.,UMP,Union pour un Mouvement Populaire,19270,"  51,00","  29,44",oui,02503,51.0,29.44
1,MONTEL,Sophie,Mme,FN,Front National,9581,"  24,47","  14,21",non,02504,24.47,14.21
2,DEMOUGE,Charles,M.,UMP,Union pour un Mouvement Populaire,10260,"  26,21","  15,22",non,02504,26.21,15.22
3,MOSCOVICI,Pierre,M.,SOC,Socialiste,19311,"  49,32","  28,65",oui,02504,49.32,28.65
1,LUCCHESI,Liliane,Mme,SOC,Socialiste,15966,"  37,46","  20,64",non,02505,37.46,20.64
2,GENEVARD,Annie,Mme,UMP,Union pour un Mouvement Populaire,26651,"  62,54","  34,46",oui,02505,62.54,34.46
5,LABAUNE,Patrick,M.,UMP,Union pour un Mouvement Populaire,21510,"  51,87","  29,51",oui,02601,51.87,29.51
7,MAURICE,Alain,M.,SOC,Socialiste,19957,"  48,13","  27,38",non,02601,48.13,27.38
6,REYNIER,Franck,M.,PRV,Parti radical,25187,"  50,80","  28,68",oui,02602,50.8,28.68
7,COUTARD,Catherine,Mme,DVG,Divers gauche,24397,"  49,20","  27,78",non,02602,49.2,27.78
1,MARITON,Hervé,M.,UMP,Union pour un Mouvement Populaire,32913,"  51,00","  32,07",oui,02603,51.0,32.07
10,RASCLARD,Hervé,M.,SOC,Socialiste,31618,"  49,00","  30,81",non,02603,49.0,30.81
2,THORAVAL,Marie-Hélène,Mme,UMP,Union pour un Mouvement Populaire,24192,"  47,30","  26,87",non,02604,47.3,26.87
10,NIESON,Nathalie,Mme,SOC,Socialiste,26953,"  52,70","  29,94",oui,02604,52.7,29.94
1,CHAMPREDON,Michel,M.,RDG,Radical de Gauche,19544,"  42,03","  22,89",non,02701,42.03,22.89
2,LE MAIRE,Bruno,M.,UMP,Union pour un Mouvement Populaire,26961,"  57,97","  31,58",oui,02701,57.97,31.58
1,NICOLAS,Jean-Pierre,M.,UMP,Union pour un Mouvement Populaire,21821,"  49,96","  28,34",non,02702,49.96,28.34
2,DESTANS,Jean-Louis,M.,SOC,Socialiste,21860,"  50,04","  28,39",oui,02702,50.04,28.39
1,MORIN,Hervé,M.,NCE,Nouveau Centre,25166,"  53,17","  30,80",oui,02703,53.17,30.8
2,MAMMERI,Mélanie,Mme,SOC,Socialiste,22164,"  46,83","  27,12",non,02703,46.83,27.12
1,PRIOLLAUD,François-Xavier,M.,NCE,Nouveau Centre,19730,"  42,95","  22,75",non,02704,42.95,22.75
2,LONCLE,François,M.,SOC,Socialiste,26209,"  57,05","  30,22",oui,02704,57.05,30.22
1,DUBOIS,Jean-Michel,M.,FN,Front National,14608,"  39,59","  16,74",non,02705,39.59,16.74
2,GILARD,Franck,M.,UMP,Union pour un Mouvement Populaire,22294,"  60,41","  25,55",oui,02705,60.41,25.55
1,LEBON,David,M.,SOC,Socialiste,25012,"  49,20","  28,65",non,02801,49.2,28.65
3,GORGES,Jean-Pierre,M.,UMP,Union pour un Mouvement Populaire,25830,"  50,80","  29,58",oui,02801,50.8,29.58
6,BOULLAIS,Gisèle,Mme,SOC,Socialiste,17630,"  46,36","  24,49",non,02802,46.36,24.49
12,MARLEIX,Olivier,M.,UMP,Union pour un Mouvement Populaire,20402,"  53,64","  28,35",oui,02802,53.64,28.35
4,DE LA RAUDIERE,Laure,Mme,UMP,Union pour un Mouvement Populaire,21556,"  52,58","  30,24",oui,02803,52.58,30.24
9,HUWART,Harold,M.,RDG,Radical de Gauche,19443,"  47,42","  27,28",non,02803,47.42,27.28
1,FONTAINE,Georges-Philippe,M.,UMP,Union pour un Mouvement Populaire,18743,"  37,26","  21,81",non,02901,37.26,21.81
2,URVOAS,Jean-Jacques,M.,SOC,Socialiste,31566,"  62,74","  36,74",oui,02901,62.74,36.74
1,ADAM,Patricia,Mme,SOC,Socialiste,26134,"  66,84","  33,45",oui,02902,66.84,33.45
2,BERTHELOT,Marc,M.,UMP,Union pour un Mouvement Populaire,12963,"  33,16","  16,59",non,02902,33.16,16.59
1,LAMOUR,Marguerite,Mme,UMP,Union pour un Mouvement Populaire,24765,"  47,71","  28,70",non,02903,47.71,28.7
2,BLEUNVEN,Jean-Luc,M.,DVG,Divers gauche,27146,"  52,29","  31,46",oui,02903,52.29,31.46
1,LEBRANCHU,Marylise,Mme,SOC,Socialiste,30376,"  61,11","  36,98",oui,02904,61.11,36.98
2,LE BRUN,Agnès,Mme,UMP,Union pour un Mouvement Populaire,19328,"  38,89","  23,53",non,02904,38.89,23.53
1,GUITTET,Chantal,Mme,SOC,Socialiste,30781,"  57,12","  33,77",oui,02905,57.12,33.77
2,LE GUEN,Jacques,M.,UMP,Union pour un Mouvement Populaire,23107,"  42,88","  25,35",non,02905,42.88,25.35
1,FERRAND,Richard,M.,SOC,Socialiste,31965,"  58,36","  35,77",oui,02906,58.36,35.77
2,CAP,Dominique,M.,UMP,Union pour un Mouvement Populaire,22807,"  41,64","  25,52",non,02906,41.64,25.52
