NumPanneauCand,NomPsn,PrenomPsn,CivilitePsn,CodNua,LibNua,NbVoix,RapportExprime,RapportInscrit,Elu,CodCirc,RapportExprimes,RapportInscrits
6,TOUTUT-PICARD,Elisabeth,Mme,REM,La République en marche,26521,"  67,84","  26,58",oui,03107,67.84,26.58
2,AVIRAGNET,Joël,M.,SOC,Parti socialiste,17270,"  50,13","  20,22",oui,03108,50.13,20.22
6,MONTSARRAT,Michel,M.,REM,La République en marche,17179,"  49,87","  20,11",non,03108,49.87,20.11
1,BOMPARD,Manuel,M.,FI,La France insoumise,14991,"  47,67","  18,88",non,03109,47.67,18.88
12,MÖRCH,Sandrine,Mme,REM,La République en marche,16458,"  52,33","  20,73",oui,03109,52.33,20.73
2,FABRE,Monique,Mme,FI,La France insoumise,17512,"  39,30","  18,36",non,03110,39.3,18.36
7,NADOT,Sébastien,M.,REM,La République en marche,27048,"  60,70","  28,36",oui,03110,60.7,28.36
2,DUPOUEY,Francis,M.,SOC,Parti socialiste,13159,"  40,75","  17,90",non,03201,40.75,17.9
5,CAZENEUVE,Jean-René,M.,REM,La République en marche,19133,"  59,25","  26,03",oui,03201,59.25,26.03
2,SOCCIO,Christopher,M.,REM,La République en marche,15001,"  48,43","  20,98",non,03202,48.43,20.98
12,BIÉMOURET,Gisèle,Mme,SOC,Parti socialiste,15972,"  51,57","  22,34",oui,03202,51.57,22.34
1,DAVID,Dominique,Mme,REM,La République en marche,20645,"  59,59","  21,73",oui,03301,59.59,21.73
4,FLORIAN,Nicolas,M.,LR,Les Républicains,14000,"  40,41","  14,74",non,03301,40.41,14.74
10,FABRE,Catherine,Mme,REM,La République en marche,13874,"  63,79","  21,02",oui,03302,63.79,21.02
14,WALRYCK,Anne,Mme,LR,Les Républicains,7875,"  36,21","  11,93",non,03302,36.21,11.93
4,PRUD'HOMME,Loïc,M.,FI,La France insoumise,16248,"  50,20","  20,05",oui,03303,50.2,20.05
21,FETOUH,Marik,M.,REM,La République en marche,16117,"  49,80","  19,89",non,03303,49.8,19.89
1,DAVID,Alain,M.,SOC,Parti socialiste,15550,"  50,91","  16,61",oui,03304,50.91,16.61
9,S'KALLI-BOUAZIZA,Aziz,M.,REM,La République en marche,14992,"  49,09","  16,01",non,03304,49.09,16.01
7,GOT,Pascale,Mme,SOC,Parti socialiste,20632,"  49,54","  18,67",non,03305,49.54,18.67
11,SIMIAN,Benoit,M.,REM,La République en marche,21011,"  50,46","  19,01",oui,03305,50.46,19.01
9,RÉCALDE,Marie,Mme,SOC,Parti socialiste,16590,"  41,19","  15,99",non,03306,41.19,15.99
10,POULLIAT,Eric,M.,REM,La République en marche,23690,"  58,81","  22,84",oui,03306,58.81,22.84
8,COUILLARD,Bérangère,Mme,REM,La République en marche,17304,"  55,70","  22,49",oui,03307,55.7,22.49
14,GARRIGOU,Bernard,M.,SOC,Parti socialiste,13761,"  44,30","  17,89",non,03307,44.3,17.89
1,PANONACLE,Sophie,Mme,REM,La République en marche,26713,"  59,75","  24,49",oui,03308,59.75,24.49
5,FOULON,Yves,M.,LR,Les Républicains,17997,"  40,25","  16,50",non,03308,40.25,16.5
8,SAVARY,Gilles,M.,SOC,Parti socialiste,15674,"  46,46","  16,75",non,03309,46.46,16.75
9,METTE,Sophie,Mme,MDM,Modem,18059,"  53,54","  19,29",oui,03309,53.54,19.29
7,BOUDIÉ,Florent,M.,REM,La République en marche,21772,"  67,90","  26,95",oui,03310,67.9,26.95
11,CHADOURNE,Sandrine,Mme,FN,Front National,10295,"  32,10","  12,74",non,03310,32.1,12.74
12,HAMMERER,Véronique,Mme,REM,La République en marche,21085,"  57,02","  22,69",oui,03311,57.02,22.69
16,DIAZ,Edwige,Mme,FN,Front National,15891,"  42,98","  17,10",non,03311,42.98,17.1
6,DUBOS,Christelle,Mme,REM,La République en marche,19670,"  56,71","  23,60",oui,03312,56.71,23.6
8,MIQUEU,Christophe,M.,FI,La France insoumise,15018,"  43,29","  18,02",non,03312,43.29,18.02
4,JAMET,France,Mme,FN,Front National,10381,"  34,31","  12,26",non,03401,34.31,12.26
6,MIRALLÈS,Patricia,Mme,REM,La République en marche,19877,"  65,69","  23,48",oui,03401,65.69,23.48
7,JANNIN,Stéphanie,Mme,REM,La République en marche,9866,"  47,71","  16,32",non,03402,47.71,16.32
14,RESSIGUIER,Muriel,Mme,FI,La France insoumise,10811,"  52,29","  17,89",oui,03402,52.29,17.89
6,VIDAL,Stéphane,M.,FI,La France insoumise,13226,"  39,55","  15,54",non,03403,39.55,15.54
7,DUBOST,Coralie,Mme,REM,La République en marche,20211,"  60,45","  23,75",oui,03403,60.45,23.75
1,GAUBERT,François,M.,FN,Front National,13771,"  34,25","  12,30",non,03404,34.25,12.3
2,ELIAOU,Jean-François,M.,REM,La République en marche,26432,"  65,75","  23,60",oui,03404,65.75,23.6
6,ARDINAT,Gilles,M.,FN,Front National,15107,"  41,64","  16,03",non,03405,41.64,16.03
10,HUPPÉ,Philippe,M.,REM,La République en marche,21169,"  58,36","  22,46",oui,03405,58.36,22.46
3,VOYER,Isabelle,Mme,REM,La République en marche,17950,"  46,51","  19,67",non,03406,46.51,19.67
14,MÉNARD,Emmanuelle,Mme,FN,Front National,20640,"  53,49","  22,61",oui,03406,53.49,22.61
8,EUZET,Christophe,M.,REM,La République en marche,20623,"  52,83","  20,20",oui,03407,52.83,20.2
14,ROQUES,Myriam,Mme,FN,Front National,18414,"  47,17","  18,04",non,03407,47.17,18.04
4,PRATO,Gérard,M.,FN,Front National,11680,"  37,15","  13,19",non,03408,37.15,13.19
13,DÉMOULIN,Nicolas,M.,REM,La République en marche,19757,"  62,85","  22,31",oui,03408,62.85,22.31
2,VOUZELLAUD,Guillaume,M.,FN,Front National,10600,"  35,46","  12,91",non,03409,35.46,12.91
7,VIGNAL,Patrick,M.,REM,La République en marche,19293,"  64,54","  23,49",oui,03409,64.54,23.49
1,LAABID,Mostapha,M.,REM,La République en marche,19346,"  58,87","  21,57",oui,03501,58.87,21.57
7,LE BLOND,Grégoire,M.,UDI,Union des Démocrates et Indépendants,13519,"  41,13","  15,07",non,03501,41.13,15.07
7,PLOUVIER,Bertrand,M.,LR,Les Républicains,9243,"  25,56","  10,01",non,03502,25.56,10.01
13,MAILLART-MÉHAIGNERIE,Laurence,Mme,MDM,Modem,26922,"  74,44","  29,17",oui,03502,74.44,29.17
10,ANDRÉ,François,M.,SOC,Parti socialiste,21693,"  65,86","  25,18",oui,03503,65.86,25.18
12,PARMENTIER,Mélina,Mme,LR,Les Républicains,11244,"  34,14","  13,05",non,03503,34.14,13.05
4,LE BOHEC,Gaël,M.,REM,La République en marche,22667,"  61,75","  25,08",oui,03504,61.75,25.08
9,MARTIN,Marc,M.,FI,La France insoumise,14041,"  38,25","  15,54",non,03504,38.25,15.54
3,LE CALLENNEC,Isabelle,Mme,LR,Les Républicains,20627,"  46,70","  19,97",non,03505,46.7,19.97
10,CLOAREC,Christine,Mme,REM,La République en marche,23546,"  53,30","  22,79",oui,03505,53.3,22.79
1,VAHÉ,Nolwenn,Mme,REM,La République en marche,16389,"  42,00","  18,85",non,03506,42.0,18.85
10,BENOIT,Thierry,M.,UDI,Union des Démocrates et Indépendants,22633,"  58,00","  26,03",oui,03506,58.0,26.03
2,LURTON,Gilles,M.,LR,Les Républicains,26032,"  56,21","  26,26",oui,03507,56.21,26.26
14,FRIBOLLE,Valérie,Mme,REM,La République en marche,20282,"  43,79","  20,46",non,03507,43.79,20.46
8,BACHELIER,Florian,M.,REM,La République en marche,22111,"  60,96","  26,49",oui,03508,60.96,26.49
16,LE PAPE,Enora,Mme,FI,La France insoumise,14161,"  39,04","  16,97",non,03508,39.04,16.97
8,WUNSCH,Mylène,Mme,FN,Front National,9369,"  29,58","  11,63",non,03601,29.58,11.63
13,JOLIVET,François,M.,REM,La République en marche,22303,"  70,42","  27,69",oui,03601,70.42,27.69
9,FORISSIER,Nicolas,M.,LR,Les Républicains,19218,"  51,69","  21,34",oui,03602,51.69,21.34
10,GUERIN,Sophie,Mme,MDM,Modem,17962,"  48,31","  19,95",non,03602,48.31,19.95
3,GILLE,Jean-Patrick,M.,SOC,Parti socialiste,11573,"  46,07","  16,86",non,03701,46.07,16.86
14,CHALUMEAU,Philippe,M.,REM,La République en marche,13548,"  53,93","  19,74",oui,03701,53.93,19.74
7,LABARONNE,Daniel,M.,REM,La République en marche,20192,"  56,86","  22,78",oui,03702,56.86,22.78
11,GREFF,Claude,Mme,LR,Les Républicains,15321,"  43,14","  17,29",non,03702,43.14,17.29
10,AUCONIE,Sophie,Mme,UDI,Union des Démocrates et Indépendants,22194,"  56,59","  22,77",oui,03703,56.59,22.77
12,TOURAINE,Marisol,Mme,SOC,Parti socialiste,17022,"  43,41","  17,46",non,03703,43.41,17.46
6,COLBOC,Fabienne,Mme,REM,La République en marche,19995,"  58,26","  22,18",oui,03704,58.26,22.18
12,NOVELLI,Hervé,M.,LR,Les Républicains,14327,"  41,74","  15,90",non,03704,41.74,15.9
8,THILLAYE,Sabine,Mme,REM,La République en marche,18782,"  58,29","  22,39",oui,03705,58.29,22.39
10,BOIGARD,Fabrice,M.,LR,Les Républicains,13441,"  41,71","  16,02",non,03705,41.71,16.02
